"","R-18_Baseline","R-5_Baseline","R-12_Baseline","R-20_Baseline","R-2_Baseline","R-14_Baseline","R-6_Baseline","R-8_Baseline","R-17_Baseline","R-24_Baseline","R-9_Baseline","R-15_Baseline","R-10_Baseline","R-4_Baseline"
"POTEH",0.36722042604298,-0.805573273698835,0.683951551987388,2.95365252061019,-0.483602839352001,-0.296180638140731,-0.38027817729869,-0.978515707022334,-0.462214890386248,0.184793021260612,-0.597547712179184,-0.842399842319476,0.516140759228507,0.140554801267826
"TPSB2",-0.378197566853694,-0.342428537353009,-0.993846971230476,2.34425150925916,0.239494318696433,-0.961989416256232,-1.0293854516445,-1.22370781108095,0.680867912094508,0.735974391646537,0.796913570298623,0.768408424412244,-0.694574826941946,0.0582204549532963
"CPA6",-0.263938208789937,-0.171267301546938,-0.517739631532557,3.32890629629267,-0.268059124705513,-0.572861470832588,-0.284621336211356,-0.296091191051352,-0.529319515997644,-0.328950797265791,0.129699673738313,-0.308463213467613,-0.447956785389422,0.530662606759728
"SHISA2",-0.00195053698160105,-0.84832053177234,0.537869782245366,2.54001071197921,-0.863076161772654,-1.00323535867404,-0.232266008329311,-1.13616755633418,-1.13537967932154,0.360993433472917,0.656326916951822,0.0980123801567591,0.346472317736306,0.680710290643275
"CYP1B1",-0.476284587313743,-0.663605956456916,-0.201619343174619,-1.3277117080818,0.228911608091044,-0.936511443145283,-0.599728035747713,2.7924613010423,-0.536263011588577,0.137152856256874,0.942411950756568,0.398869910531712,-0.0514586265195186,0.293375085349664
"OTOGL",0.00833458795131253,-0.92748410236164,-0.277848427124845,3.15739845887902,-0.188371551773481,0.259372041365272,-0.254064416438857,-0.449602142948827,0.837735075716959,-0.480030412778906,-0.262553582608689,-0.545078203755087,-0.580931389193096,-0.296875934929139
"BLID",-0.79603294953876,-0.777205807303003,-0.383601614142764,-0.470024202840997,-0.313772045742391,-0.199279582384409,-0.693446404943741,3.07340236879386,-0.0102533836301009,-0.0833199566478863,0.876251927842097,-0.0358079370898868,-0.611026309247343,0.424115896875332
"STAG3",-0.577964343836271,-0.627839516781407,-0.422118304232693,-0.612795319350316,0.251928075251028,0.39825311486489,-0.456262382735546,2.96616101198894,0.0664858162359217,-0.288466980233115,1.11603474866378,-0.759668149578436,-0.41674218923953,-0.637005581017246
"FILIP1",0.473405473254251,-1.38096595292935,-0.232181074105089,-1.14870487518925,0.314788170999901,-1.08874169466573,0.11735628673229,2.83231603779999,0.0840441052012484,0.0981608321032408,0.293723339941357,-0.0771064047877387,-0.255541410869444,-0.0305528334856659
"C8orf48",-0.159797349203691,-0.240742884829806,-0.251153999348157,3.13094338487272,-0.258476754478292,-1.02213844641836,-0.806245829046498,-0.481233690138718,-0.257007982980629,-0.207343835618803,0.888611410283989,-0.319661550112405,0.160119354966817,-0.175871827948173
"C4orf50",-0.800875468858426,-0.760750987608928,-0.878125430043289,-0.739148754722835,0.534526084289824,1.19886121667842,-0.900101572482854,1.10752738042144,-0.983947234515199,-0.716738027341616,0.754090006171433,1.8122568055967,0.991968100328544,-0.619542117913216
"TNIP3",-0.71514609244082,-0.5709911147503,-0.750044288442122,-0.352019610190105,1.42070499657402,0.798302090188795,-0.69292209802958,2.70729284650263,-0.608814324132248,-0.45229047968636,-0.195105497151444,0.234966312797431,-0.374170841041692,-0.449761900198195
"HSPA6",0.173294359979599,-0.465970404259903,-0.117081367710279,-1.40598579660666,0.685274066220661,-1.20920347782628,-0.310886284147938,2.82427344551155,0.257474470555676,-0.423918758642989,0.181391750506832,-0.51297349251692,-0.123114485218689,0.44742597415533
"NPR1",-0.00848141877728857,-1.52527107967265,-0.0833827489327124,-1.17024510225635,-0.374668649272331,-0.622558686660692,-0.0334682979295988,2.70677140974965,0.551313378706473,0.00348054971222569,0.801999921378926,0.192422749366546,-0.643979538557084,0.206067513144885
"CBLC",1.56715203461515,0.138839835418697,-0.271366228230285,0.476615241750209,1.07718831960808,-0.487663767454965,0.695818892509193,-2.61944505977069,-0.639530495072195,-0.0924658104257271,-0.552505879092743,0.334470900456403,0.723075473164918,-0.350183457476055
