"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"A1BG",3401.04212163738,0.000249092529185505,0.0665715953271321,0.914250349670245,0.998972081085143
"A1BG-AS1",353.461325977458,0.000564864584136053,0.066473588134175,0.894618949055538,0.998972081085143
"A1CF",1890.54994996036,-0.000388681011296494,0.0666080252484959,0.615094402353203,0.998972081085143
"A2M",46285.9933955422,-0.00339148693239957,0.0666355080516316,0.357154681959285,0.998972081085143
"A2M-AS1",35.3398897877087,-0.000417117245834875,0.066501739203684,0.926381797955097,0.998972081085143
"A2ML1",225.31059499428,0.000552004223874655,0.066597796267354,0.717084147708662,0.998972081085143
"A3GALT2",22.4447392096794,-0.00492264810435835,0.066714124559955,0.297636789385224,0.998972081085143
"A4GALT",1219.28816546387,-0.00113374449595995,0.0664862561999843,0.780099386942929,0.998972081085143
"AAAS",1660.9763824844,0.0125163784730802,0.0676551078230913,0.194641848532739,0.998972081085143
"AACS",2450.59488069878,-0.00414835667978386,0.0666527053236853,0.350419404440545,0.998972081085143
"AADAC",1395.5718474205,-0.000995522208463963,0.0666140266940976,0.319875918267262,0.998972081085143
"AADAT",871.828771519266,0.00100427182900777,0.0665423087605355,0.762704386641023,0.998972081085143
"AAED1",798.326158150646,-0.00710698946172121,0.0669836596462262,0.13590316429312,0.985898637564056
"AAGAB",2113.31723529602,0.00871367708429915,0.0669489647666706,0.290339622090874,0.998972081085143
"AAK1",5290.02949233928,-0.000289521776686667,0.0662827064419139,0.9576679465011,0.998972081085143
"AAMDC",329.044929528128,-0.000892422897198947,0.0664250393148524,0.9423075821532,0.998972081085143
"AAMP",3327.04290257409,-0.000703218650693912,0.0662637965813649,0.910841013905554,0.998972081085143
"AAR2",1079.01970949075,0.0091517662712875,0.0669393688117278,0.319442948420555,0.998972081085143
"AARD",4408.75398323102,0.00202407823011495,0.0666478263555401,0.0940201575900757,0.946357431197214
"AARS",8917.45558315674,-0.00810388119630544,0.0670946287916425,0.164122997587588,0.998972081085143
"AARS2",2118.10401691067,-0.0110060498761351,0.0676189953696205,0.110042965036519,0.960554715659181
"AASDH",2282.74873066175,0.0123542372755811,0.0680141103750114,0.062881575805507,0.890082152923321
"AASDHPPT",1264.60737273782,-0.0011474374678071,0.0662493922552033,0.864522679340386,0.998972081085143
"AASS",2041.9093343172,-0.00405009734242019,0.0667288060955016,0.184882353756336,0.998972081085143
"AATF",2548.50590268046,0.0186380781355389,0.0695956212635939,0.0884723983100287,0.938954455822159
"AATK",571.988214442861,-0.00120802625808685,0.0665870331527683,0.579859357307063,0.998972081085143
"ABAT",2024.57486301295,0.00304069201160898,0.0666831618855809,0.164950402276067,0.998972081085143
"ABCA1",11603.1506249554,0.00108159187869305,0.0664518455344597,0.82911576861112,0.998972081085143
"ABCA10",1208.82698205411,-0.00935948536844752,0.0674337482573141,0.0788802677171493,0.918154803507523
"ABCA11P",461.473034971331,-0.00261393691288869,0.0665441936179773,0.542118905944719,0.998972081085143
"ABCA12",4623.94097180347,0.00140471703984969,0.0666284215763181,0.0493608332952601,0.843245352168349
"ABCA13",269.191704688844,-0.00154288368784561,0.0666301836993374,0.124697626711346,0.978995734772624
"ABCA2",17576.2429097666,0.00237148885643042,0.0666089770328666,0.432852469884401,0.998972081085143
"ABCA3",9694.03938385333,0.00223500801806737,0.0666225761622773,0.377414256777996,0.998972081085143
"ABCA4",951.897676656037,0.00257416642586622,0.0666696135988007,0.109240918791246,0.9597211888828
"ABCA5",3971.53374991926,-0.00102996882657867,0.0664747191385441,0.806188229250272,0.998972081085143
"ABCA6",4117.19950086106,-0.0057423048177779,0.0669218081258297,0.0588340394721411,0.878381251396935
"ABCA7",5092.04995637345,-0.00291578472014661,0.0665983126835692,0.433520515807606,0.998972081085143
"ABCA8",2115.63791150996,-0.00205857850125766,0.0666190810880482,0.370529597122043,0.998972081085143
"ABCA9",1968.93290366193,-0.00456029494295758,0.0667791236013513,0.137625448772017,0.985898637564056
"ABCB1",1136.25840711754,0.000645500258801149,0.066576291360184,0.781165690960283,0.998972081085143
"ABCB10",2172.14027462413,-0.00035122024772788,0.0663015227636242,0.975692136530186,0.998972081085143
"ABCB11",1205.09259260744,-0.00213517989373851,0.0666512730152211,0.0983139062777031,0.952690154194645
"ABCB4",2271.24932468127,0.00158655689604895,0.0666021714054264,0.475666437826959,0.998972081085143
"ABCB5",33.3119325136618,-0.000820607605107844,0.0665870756408952,0.66318376910544,0.998972081085143
"ABCB6",1759.23300874729,-0.00131821909927901,0.0664899878625274,0.729185093233629,0.998972081085143
"ABCB7",2610.70453130315,-0.00102417900477058,0.0663057822335648,0.866542369958508,0.998972081085143
"ABCB8",2438.99087613011,-0.00244714298848374,0.0664865652543596,0.617302651795588,0.998972081085143
"ABCB9",947.189303865022,0.00691373137536889,0.0670788728938191,0.0385845663817843,0.778882810565647
"ABCC1",7149.76300197924,0.000651963078556771,0.0663562897457462,0.919598105488135,0.998972081085143
"ABCC10",6153.47932119328,-0.00332376470134173,0.0666410499357627,0.342143493356621,0.998972081085143
"ABCC13",27.5655658544009,-0.000527244403667969,0.0666041720368886,0.651432555888177,0.998972081085143
"ABCC2",2340.15973466738,0.00270779597964784,0.0666754353293932,0.112221727983224,0.96284082551269
"ABCC3",6720.20593006973,0.000655968968330239,0.0664738817319534,0.887752136526182,0.998972081085143
"ABCC4",1785.93883865593,0.00116213570144949,0.0665566913209005,0.710471747862691,0.998972081085143
"ABCC5",10112.2661138902,0.00515532705227823,0.066868725930057,0.0497446265841255,0.843245352168349
"ABCC6",1911.58009845283,0.00131674879318632,0.066601174143824,0.509634454084595,0.998972081085143
"ABCC6P1",241.921581702666,0.00141643745964135,0.0666150052087051,0.368133940504079,0.998972081085143
"ABCC6P2",48.8194668937361,0.0012559828160494,0.066615783994741,0.315929975953594,0.998972081085143
"ABCC8",462.808924465864,0.000657304460293427,0.0666119661513967,1.73223700659245e-05,0.0139030848442159
"ABCC9",3232.40443847412,-0.00193628370999672,0.0665681854574193,0.551989813225923,0.998972081085143
"ABCD1",3910.75606773294,-0.00104910003679718,0.0665000126608952,0.781786732004499,0.998972081085143
"ABCD2",256.139218230707,-0.00341104098209525,0.0667292036917304,0.0241648201479503,0.648375842923201
"ABCD3",5622.34665563692,0.00456299037464871,0.0667115378815317,0.288383313045875,0.998972081085143
"ABCD4",2144.30621721789,0.00385372697721034,0.0664751351712784,0.545867336330725,0.998972081085143
"ABCE1",6276.65661196446,0.000210739595318242,0.0663995068780804,0.977021274257963,0.998972081085143
"ABCF1",4231.13399641748,0.000449448958973767,0.0660918196604331,0.962212615249172,0.998972081085143
"ABCF2",2816.00214147679,-0.00702814928497206,0.0668818570160499,0.249260803149701,0.998972081085143
"ABCF3",3901.10661575832,-0.00500476383384121,0.0664360979578945,0.511326373149786,0.998972081085143
"ABCG1",3222.59977881151,0.00290828177079065,0.0666257881983185,0.385609761269966,0.998972081085143
"ABCG2",440.045595568442,0.000161954788237543,0.06650692107799,0.969575380952608,0.998972081085143
"ABCG4",31.6998316992711,-0.00105536726279676,0.0665613404975962,0.701956377660915,0.998972081085143
"ABCG5",603.840642620172,-0.000716058474017113,0.0665993907636448,0.619178126049217,0.998972081085143
"ABCG8",859.733450762359,-1.18866740868167e-05,0.0665954068332801,0.990555757475203,0.998972081085143
"ABHD1",98.9504405118206,0.00075107726155021,0.0665818264428019,0.734184734651468,0.998972081085143
"ABHD10",699.86510064228,0.00050456429482433,0.0662706218441913,0.926532642802972,0.998972081085143
"ABHD11",2104.35251217162,0.00296955273490853,0.0666015431514922,0.443224182742717,0.998972081085143
"ABHD12",2700.56839156648,0.00482206992993189,0.0666272044114583,0.402141542603471,0.998972081085143
"ABHD13",900.353281848724,0.00319694468508757,0.0664447196168061,0.603326228470008,0.998972081085143
"ABHD14A",446.039647008305,0.00411325921823611,0.0666321384425048,0.412526938888846,0.998972081085143
"ABHD14B",1493.37615078183,0.0033274620846811,0.0666219296663703,0.399807771162306,0.998972081085143
"ABHD15",624.754242250947,0.00633409082877309,0.0668948451246843,0.188049894302594,0.998972081085143
"ABHD16A",2708.7070296112,-0.00416091961210421,0.0659513486927713,0.687031005311735,0.998972081085143
"ABHD16B",17.2426811262125,0.00136632070423494,0.066513497269183,0.730951451751916,0.998972081085143
"ABHD17A",1611.00325038368,-0.00154934403084577,0.0659860726761161,0.861800324565981,0.998972081085143
"ABHD17B",632.145721742441,-0.00579710451752898,0.0668266320205523,0.249759020107848,0.998972081085143
"ABHD17C",761.567615586384,0.00620855956111953,0.0668860506107571,0.154926318050694,0.993187740983432
"ABHD2",8247.0543993489,-0.00154982014963774,0.0665425688100249,0.648720499484093,0.998972081085143
"ABHD3",1374.40528647715,0.00222973887274488,0.0664763877087276,0.662479146534415,0.998972081085143
"ABHD4",1074.48185558197,0.00626787791839076,0.0666601587338627,0.384829526408323,0.998972081085143
"ABHD5",1299.13053020772,-0.00104453797209145,0.0664241115216853,0.830489135797402,0.998972081085143
"ABHD6",468.881416517099,0.00158248484140668,0.0665518886873804,0.644472048181724,0.998972081085143
"ABHD8",746.968996577785,-0.0027758970466168,0.0663036061222648,0.71348335879434,0.998972081085143
"ABI1",7207.05796827159,-0.00236445979288493,0.0665194718597156,0.589048712439955,0.998972081085143
