"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"A1BG",6140.92873273167,1.74396671677926e-06,0.00144269145613617,0.351857687797543,0.999224467646119
"A1BG-AS1",324.672366216668,1.20361212389953e-06,0.00144268468554597,0.670555047729632,0.999224467646119
"A1CF",3080.88470215979,6.29193358740385e-07,0.00144269375363359,0.584216129649695,0.999224467646119
"A2M",56878.7097181489,1.68714854024348e-06,0.00144269094822193,0.367510038734438,0.999224467646119
"A2M-AS1",39.2120378370201,3.76995824123725e-06,0.00144268943387582,0.128945726308697,0.999224467646119
"A2ML1",474.188749680189,-1.68081642006273e-07,0.00144269470960277,0.540289590931005,0.999224467646119
"A3GALT2",19.8798951137057,-7.53969799170829e-07,0.00144269285339182,0.560377820377722,0.999224467646119
"A4GALT",1173.42721734409,4.42180451866883e-07,0.00144269011600035,0.800798179699365,0.999224467646119
"A4GNT",2.32041893624508,3.38439031497008e-07,0.00144269472518951,0.468880010503507,0.999224467646119
"AAAS",1569.18263349908,-1.55512917183829e-06,0.00144267326771873,0.71048617347615,0.999224467646119
"AACS",2666.99401673755,-2.13336229312078e-06,0.00144269237003956,0.167491142880294,0.999224467646119
"AADAC",1806.5563590583,1.22484032655321e-06,0.00144269386069344,0.220230159198602,0.999224467646119
"AADACL2",73.2736196244008,1.05126350577605e-07,0.0014426942694597,0.863318733266971,0.999224467646119
"AADACL4",0.68891135982165,2.91861573675309e-08,0.00144269500074831,0.974658832907675,0.999224467646119
"AADAT",1061.26966247414,1.87337713504134e-06,0.00144269084434106,0.33340598806151,0.999224467646119
"AAED1",733.260869585476,-1.64876315115403e-07,0.00144268954722701,0.929570404445722,0.999224467646119
"AAGAB",2059.05158657828,-2.70495754141752e-06,0.00144268467780284,0.376170906658796,0.999224467646119
"AAK1",5426.08718160286,2.29909027014186e-06,0.00144268744537363,0.325960535998882,0.999224467646119
"AAMDC",348.881403515098,1.16939037674766e-06,0.00144268898454191,0.595810855844767,0.999224467646119
"AAMP",3187.54087099939,-2.75090116367899e-06,0.00144267571890565,0.491581227450656,0.999224467646119
"AANAT",2.50032167556479,7.39035888510332e-07,0.00144269449118142,0.257966506994181,0.999224467646119
"AAR2",1068.30965200817,2.92910923340216e-07,0.00144267871040445,0.936681337945013,0.999224467646119
"AARD",5830.96282339956,-2.34819574872123e-07,0.00144269465858908,0.441865939043909,0.999224467646119
"AARS",10530.2691362524,-5.73221549700788e-06,0.00144269282160795,0.0314233960137888,0.992143212366112
"AARS2",1915.42458894312,-9.48328214742072e-07,0.00144268136665472,0.766366547340057,0.999224467646119
"AARSD1",4.70748950833687,-2.66479975537265e-07,0.0014426945025456,0.625785527741432,0.999224467646119
"AASDH",2188.22174874942,-1.34381047409295e-09,0.00144268532788,0.995755061498748,0.999224467646119
"AASDHPPT",1236.34240977107,-3.18384170262658e-06,0.00144268375769432,0.338140597631739,0.999224467646119
"AASS",2299.27485161251,1.24425939062358e-06,0.00144269161441915,0.476185424029382,0.999224467646119
"AATF",2364.53629236963,3.10048450621283e-06,0.00144267566123407,0.433004928930834,0.999224467646119
"AATK",554.606746427701,2.5866556356169e-07,0.00144269387616698,0.734730082315908,0.999224467646119
"AATK-AS1",2.19412223340332,2.49023417348735e-07,0.00144269483010967,0.528947238704112,0.999224467646119
"ABAT",2687.68743479929,1.11551910674168e-06,0.00144269245000756,0.457902137980592,0.999224467646119
"ABCA1",12205.3181800079,7.95928575541106e-06,0.00144269181257825,0.0139780371842091,0.827073503119324
"ABCA10",1375.50607170775,1.18341368855863e-06,0.00144269168353958,0.465261708754783,0.999224467646119
"ABCA11P",362.348842431754,-2.74519282568855e-06,0.00144268460265814,0.372145058333731,0.999224467646119
"ABCA12",6187.9218776864,-7.60218442195587e-07,0.00144269492621005,0.0148795757154551,0.851419336888064
"ABCA13",320.032280180121,-2.60312824619578e-07,0.00144269459534111,0.537276438759431,0.999224467646119
"ABCA2",12970.5719637005,4.37219914137275e-07,0.00144269153300183,0.793084228648106,0.999224467646119
"ABCA3",9413.99104779784,-2.25097873515586e-07,0.00144269249566052,0.853784527941641,0.999224467646119
"ABCA4",615.765297629132,-1.34689483546627e-06,0.001442694675371,0.0356331879629961,0.999224467646119
"ABCA5",4370.31010135886,2.01521583326295e-06,0.00144268660880511,0.444681229244114,0.999224467646119
"ABCA6",5334.03995752315,3.14372323219976e-06,0.00144269242842049,0.104717786010748,0.999224467646119
"ABCA7",5191.26229793112,1.72588844005095e-07,0.00144269153984037,0.900314185922251,0.999224467646119
"ABCA8",3780.49057820877,2.28374911767772e-06,0.00144269417307496,0.0562259175274945,0.999224467646119
"ABCA9",2067.48747035815,2.61787638817497e-06,0.00144269274054793,0.107482427285826,0.999224467646119
"ABCB1",1392.49328323738,1.81603235218461e-06,0.00144269403635099,0.0821120155650124,0.999224467646119
"ABCB10",1864.26384071939,4.16511416748548e-06,0.00144268426308018,0.16189940748727,0.999224467646119
"ABCB11",2992.68370556783,1.25618242997582e-06,0.0014426944952684,0.0573278379515021,0.999224467646119
"ABCB4",3991.25471116706,3.0670219761624e-06,0.00144269287460422,0.0790811797623021,0.999224467646119
"ABCB5",72.9273085732009,2.23522912417769e-07,0.00144269480830629,0.45418898133223,0.999224467646119
"ABCB6",1877.09824404899,-2.09512146171375e-06,0.00144268967202814,0.342813269009541,0.999224467646119
"ABCB7",2664.95233826409,4.97550364927221e-06,0.00144268636959712,0.0915485493184696,0.999224467646119
"ABCB8",1912.09399067615,2.1054502946856e-06,0.00144268684873827,0.393994348331177,0.999224467646119
"ABCB9",975.089465512595,-8.14403501694476e-07,0.00144269322867378,0.398786825440808,0.999224467646119
"ABCC1",6784.17748418853,2.72945085505079e-07,0.0014426880672699,0.898766085834349,0.999224467646119
"ABCC10",5577.18227610652,-7.35655591873164e-07,0.00144269118734592,0.645625703944483,0.999224467646119
"ABCC11",6643.02101404063,6.79093419471596e-07,0.00144269469624287,0.181449702673805,0.999224467646119
"ABCC12",470.791157434247,4.10776291790541e-07,0.00144269486314576,0.0813172831886676,0.999224467646119
"ABCC13",5.90694310789922,-5.21057027185254e-07,0.00144269481291304,0.293266255876333,0.999224467646119
"ABCC2",4706.57986599336,2.64906778978084e-07,0.00144269368807339,0.80677246012522,0.999224467646119
"ABCC3",7878.77461236802,3.76245782416003e-06,0.00144269289469028,0.0389801568801754,0.999224467646119
"ABCC4",1697.72014985933,4.1901374678425e-07,0.00144269240831037,0.727381581802347,0.999224467646119
"ABCC5",9216.96185461865,-1.93806012707021e-06,0.00144269332525113,0.118866527230731,0.999224467646119
"ABCC6",2589.28325191193,2.7468942531191e-06,0.0014426939492297,0.0266149339387183,0.950050171967668
"ABCC6P1",437.055713952136,2.66174278946439e-06,0.00144269432357748,0.0284121131126558,0.973261432580437
"ABCC6P2",49.2567319308702,2.41037861781026e-06,0.00144269441768276,0.0189301588835693,0.879237755172089
"ABCC8",501.750538958631,7.7834614007513e-07,0.00144269482979575,0.0139545848765978,0.827073503119324
"ABCC9",3558.64216750628,4.15814583258751e-06,0.00144269293232274,0.0483052594283679,0.999224467646119
"ABCD1",3799.77687799064,-2.22424430594103e-06,0.00144268983631469,0.316362863578068,0.999224467646119
"ABCD2",243.553930911101,4.94731989373279e-07,0.00144269408085281,0.413503311133991,0.999224467646119
"ABCD3",6411.6245032667,-1.33226341674143e-06,0.00144269125897905,0.475143808528073,0.999224467646119
"ABCD4",2044.3427344836,3.7304009642005e-06,0.00144268455491696,0.232185543720234,0.999224467646119
"ABCE1",6153.26043569064,-9.65865108863408e-06,0.00144268851606239,0.0197312947650575,0.879237755172089
"ABCF1",4104.60415019898,-1.12939483226819e-07,0.00144266996707032,0.976820604371361,0.999224467646119
"ABCF2",2544.32787386077,-5.20252014158933e-07,0.00144268672757913,0.821453697186414,0.999224467646119
"ABCF3",3788.00834174731,-5.62655204081599e-06,0.00144268639062015,0.096032911848845,0.999224467646119
"ABCG1",3021.08686545039,1.57175473421289e-06,0.00144269188242295,0.286576764377736,0.999224467646119
"ABCG2",619.927061656912,7.53597295462407e-07,0.00144268966345912,0.717449320382678,0.999224467646119
"ABCG4",42.205013504285,-2.47789889239232e-07,0.00144269280520126,0.842777589008917,0.999224467646119
"ABCG5",1013.31442118293,2.38758306772403e-06,0.00144269416525969,0.0346050175319586,0.999224467646119
"ABCG8",1574.74075844313,-2.25772656206423e-07,0.00144269401234689,0.788925438603878,0.999224467646119
