"","R-18_Baseline","R-5_Baseline","R-12_Baseline","R-20_Baseline","R-2_Baseline","R-14_Baseline","R-6_Baseline","R-8_Baseline","R-17_Baseline","R-24_Baseline","R-9_Baseline","R-15_Baseline","R-10_Baseline","R-4_Baseline"
"FCER2",-0.487999545295551,-0.360056929283144,-0.462950327161613,-0.499141705902304,1.39847483399414,2.90265299371541,-0.781814686888856,0.16297082805415,-0.228005946438495,0.071256528030026,-0.00265111782438866,-0.624561273709484,-0.779268754885237,-0.308904896404652
"SHISA3",-0.378817919289991,-0.208073840272051,0.646736273565852,-0.831704977845735,0.251091468913958,2.59309740549371,-0.891543535739338,-0.683353465180885,0.198893441867768,0.915123214021706,-0.00838064271861441,-1.21075685448457,-0.981716575136109,0.589406006804299
"HMSD",-0.15987089619645,-0.516183607432581,-0.573130887714682,-0.475221081162967,1.67227170197781,2.22071063633543,-1.25884779226826,0.226033680884802,0.653276823994833,0.359085022142581,0.183221809159509,-1.25884779226826,-0.678968985829051,-0.393528631622709
"C1orf105",-0.207686631838778,-0.319123579568815,-0.364339022918641,-0.526964701046226,-0.907892211140569,-0.907892211140569,3.08753604291138,-0.907892211140569,0.307601227144145,-0.0230856084461883,0.154016419533067,0.543718927818547,0.140436018067702,-0.0684324582344965
"TEPP",-0.895280233791544,1.25362013422506,-0.561575316915938,-0.325552712916721,1.65038183063191,1.3878070846295,-1.41439130081512,-0.239204799305979,0.236894998923551,-0.0743208833149254,0.500309841713112,-0.820319741323301,-1.41439130081512,0.716022399075514
"KIF19",-0.723908134769971,2.19712156490561,-0.872398813692878,-0.616293684102979,0.250222640501864,1.82512811932257,-0.751271101708614,0.966463090954782,-0.0801909245798832,-0.403485485770549,0.220057440078754,-0.847967845270887,-0.613424203999004,-0.55005266186881
"IGF2BP3",-0.67318524115173,1.09286707147199,-0.499471487904598,-0.677538076266672,2.64871313655545,0.939379592780625,-0.717463816159341,0.387708925878819,0.454280084595009,-0.527846852082039,-0.388807445620691,-0.849629020487193,-0.505498721703009,-0.683508149906617
"KLRC2",1.97243787328207,-0.628820932343118,-0.635689877775061,0.00955058597324629,1.96291127449479,0.816623863783586,-0.472640308931782,0.344450667042381,-0.537329013157944,-0.397600745836963,0.383426495191267,-1.14253648851903,-1.10784120505056,-0.566942188152866
"KLRC4-KLRK1",2.31475893914659,-0.61438509770281,-0.433525889411434,0.136524455288063,1.4272077372073,0.956259383512632,-0.8207781820378,-0.250908162670816,-0.155503541293837,-0.0841503784932489,0.446320493303708,-1.38240276602769,-0.917099733519219,-0.622317257301439
"TBX20",0.0589872081168025,-0.674902114587803,1.09239928662726,-0.320176270433847,2.14350608791326,-0.48512745092256,-0.934837504114061,-0.88940632787216,0.798429098852622,0.826636304441257,-0.63230218895916,-1.20094576050139,-0.775338353949518,0.993077985389302
"CHD5",1.87904285635187,-0.532957778535125,-0.438369298377587,-0.607191184936455,1.0867397085514,2.28295897550397,-0.687958286036199,-0.127394028458875,-0.871860168674955,-0.652318910880744,-0.294399871656741,-0.565589941033221,-0.0959221070105361,-0.374779964806807
"KLRC3",2.32865080665183,-0.504037562836552,-0.77667405109955,0.409031699815248,1.37144002962017,0.865017640884274,-0.762226023225032,0.044820279915284,-0.468360626283707,-0.385737002002938,0.618212875940406,-1.13541169779232,-0.884905434315664,-0.719820935271458
"ANGPTL5",-0.141722585764888,-0.0349333390992549,-0.516311934400109,-0.856734008601215,-0.856734008601215,-0.856734008601215,3.19802816883404,-0.281846321107679,0.283268556122375,0.000447793177243496,0.291160446025164,-0.0390865114756149,0.00293534160238528,-0.191737588110023
"NYAP2",-0.357539304754782,1.39756501079396,-0.721985711096298,-0.788564026899899,0.699416424015508,2.14927512637899,-0.709874096116299,0.650382925026696,0.822166876803761,-0.0831487396685631,-0.793502915580442,-1.30854411479001,-0.837655158542585,-0.117992295570049
