"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"A1BG",3401.04212163738,-0.016889791527291,0.215607171712541,0.652323051029966,0.909336012044064
"A1BG-AS1",353.461325977458,-0.0367622631208016,0.207557431005901,0.607539895021544,0.894589208276672
"A1CF",1890.54994996036,-0.0132069396334201,0.21908651310461,0.0363439632864127,0.315069362674371
"A2M",46285.9933955422,-0.0444635451860741,0.21223346339335,0.515774596345898,0.854532475827437
"A2M-AS1",35.3398897877087,0.362396255708359,0.711066499011852,0.0163325761623218,0.216528024531751
"A2ML1",225.31059499428,0.00750083375096967,0.218098527835873,0.328659679629685,0.755979577480039
"A3GALT2",22.4447392096794,0.00637858291851484,0.203501945334427,0.935230947552548,0.988462839412338
"A4GALT",1219.28816546387,0.0643766745413932,0.215696063699484,0.392718680363343,0.793866913550732
"AAAS",1660.9763824844,0.0992532789998173,0.185242469778565,0.371475389360235,0.7809739303762
"AACS",2450.59488069878,0.116247624378282,0.240473627583896,0.166477169287478,0.594405060981383
"AADAC",1395.5718474205,-0.0754053759546744,0.237889557768394,0.00115487323985363,0.0588584172017232
"AADAT",871.828771519266,-0.0492203638145608,0.21743973467874,0.408831183742841,0.80428641152455
"AAED1",798.326158150646,0.0772337647290321,0.21433382932443,0.379171833750595,0.785468846992823
"AAGAB",2113.31723529602,0.00459837688350432,0.18085315443176,0.96245319956066,0.992190411278601
"AAK1",5290.02949233928,0.110504474123255,0.21150533474626,0.291609315052472,0.726635552508583
"AAMDC",329.044929528128,-0.0644999636632368,0.207944553429169,0.456159167207581,0.831273782808459
"AAMP",3327.04290257409,-0.00766084844440948,0.188583700888693,0.93279662811777,0.987803815421133
"AANAT",3.57172348851234,0.0186734549843926,0.215382113987707,0.658718396651855,0.912248718823234
"AAR2",1079.01970949075,-0.0340533737404795,0.17594524199074,0.746428309704845,0.938620497466238
"AARD",4408.75398323102,0.0176434305339444,0.217318192115226,0.558242701279074,0.872957015401462
"AARS",8917.45558315674,0.0281238836900402,0.197053303482689,0.752836243243694,0.940047246536627
"AARS2",2118.10401691067,-0.0997147094768755,0.208406780572551,0.343431683858549,0.763270697241132
"AARSD1",4.46155207283965,0.0639740624564119,0.228936033652684,0.0921612279230418,0.477891899473975
"AASDH",2282.74873066175,0.063268591704489,0.205063454969182,0.456528980407953,0.831477728832731
"AASDHPPT",1264.60737273782,0.00397725088278868,0.184130095434477,0.989680091640353,0.998402792306614
"AASS",2041.9093343172,-0.0375689404215495,0.214531732219234,0.504174597137652,0.851133880860023
"AATF",2548.50590268046,0.0617749842179936,0.17416005765423,0.548083482758136,0.868466197559867
"AATK",571.988214442861,-0.0557746571595841,0.226049676362822,0.0455422655922935,0.350636966201902
"ABAT",2024.57486301295,-0.0684505606320788,0.229429901907703,0.0830077443157677,0.457095337836103
"ABCA1",11603.1506249554,0.246565107579335,0.357001391178931,0.0508013216155915,0.369358232847305
"ABCA10",1208.82698205411,0.0483245648257249,0.209019374673459,0.520592526989656,0.856694052893516
"ABCA11P",461.473034971331,-0.252297258869105,0.381304400768728,0.0337638457388882,0.3015239429931
"ABCA12",4623.94097180347,-0.0162098390568442,0.218778691742392,0.161241214117458,0.587913501678027
"ABCA2",17576.2429097666,-0.0240284050563276,0.2146495859167,0.564395878629083,0.875897063869726
"ABCA3",9694.03938385333,-0.0591877563633625,0.226849825081357,0.0460234634537259,0.352516176650016
"ABCA4",951.897676656037,0.0329235112292563,0.219071980693776,0.361853737408491,0.775653917048603
"ABCA5",3971.53374991926,0.0983855795527535,0.229324188772341,0.238184442503628,0.678470471679612
"ABCA6",4117.19950086106,0.0302942275552557,0.212603471187099,0.613078568348064,0.896931443588465
"ABCA7",5092.04995637345,0.11589334921871,0.246371023366329,0.138064681223879,0.558481799347334
"ABCA8",2115.63791150996,-0.1260056202729,0.267022047129754,0.0354376537000421,0.310467145727684
"ABCA9",1968.93290366193,0.058405831012548,0.220328667243393,0.343311802720801,0.763201901918409
"ABCB1",1136.25840711754,0.106798245162931,0.255682637756257,0.00471385872081537,0.119294467179921
"ABCB10",2172.14027462413,-0.376326029264687,0.309706911690827,0.0274742007290245,0.277823244478168
"ABCB11",1205.09259260744,0.0214192338822598,0.21764511202212,0.488867163046277,0.845555281969946
"ABCB4",2271.24932468127,0.0395839366943852,0.219640832606647,0.33602774858073,0.760559356208631
"ABCB5",33.3119325136618,-0.0620043464848402,0.228543125652839,0.0727873395960817,0.433985955836199
"ABCB6",1759.23300874729,-0.0742274785193851,0.222129226541271,0.242189661783118,0.681718695121574
"ABCB7",2610.70453130315,0.068122503706128,0.19735241337334,0.482555853019696,0.84250159027305
"ABCB8",2438.99087613011,-0.0102919477864538,0.201100219104683,0.863301739661245,0.971942647588308
"ABCB9",947.189303865022,-0.0361050827267043,0.21327100407504,0.545773608446531,0.868466197559867
"ABCC1",7149.76300197924,0.378708062496759,0.384963533289921,0.0235147482241319,0.260939621483658
"ABCC10",6153.47932119328,0.0710795511631062,0.224252724210827,0.241138649183433,0.680584227254621
"ABCC11",10023.1713333338,-0.0158352429101258,0.219283558337595,2.5610651662237e-08,3.47938996154105e-05
"ABCC13",27.5655658544009,-0.0130017841392295,0.21881794750811,0.531707321299862,0.861886444057374
"ABCC2",2340.15973466738,-0.0342323916386726,0.21882828674355,0.353370117348144,0.770061827676639
"ABCC3",6720.20593006973,0.127920668049344,0.251876190908719,0.101356562598593,0.497368890770186
"ABCC4",1785.93883865593,1.53133176881129,0.711941535650475,0.000904168286147701,0.0522713702204537
"ABCC5",10112.2661138902,-0.0805101445164492,0.232282595665213,0.134727521254854,0.553101112511835
"ABCC6",1911.58009845283,-0.0624203813889462,0.230056431761975,0.000400452902970341,0.0341552206928066
"ABCC6P1",241.921581702666,-0.0505493931000098,0.225986542032387,0.0011116809585269,0.0576135472239282
"ABCC6P2",48.8194668937361,-0.0990029248824725,0.252090542902527,0.00173664719556794,0.0721201520954195
"ABCC8",462.808924465864,-0.00454613325576764,0.218545423230218,0.157162207588689,0.58133512025221
"ABCC9",3232.40443847412,-0.0244860446277427,0.211147063011366,0.676862952844594,0.917769634370128
"ABCD1",3910.75606773294,0.0916924804029851,0.229468351385937,0.234044738371376,0.673861780778622
"ABCD2",256.139218230707,0.117892406320904,0.265891131184238,0.00184016610182434,0.0742991254720788
"ABCD3",5622.34665563692,0.0227615342807127,0.205492494655575,0.759140857158699,0.941651707457214
"ABCD4",2144.30621721789,0.101647377589221,0.21286316564756,0.303349363851512,0.736401391251532
"ABCE1",6276.65661196446,0.039202779671841,0.200978109777137,0.650448257351129,0.909203046580325
"ABCF1",4231.13399641748,0.136615193915825,0.198417181263646,0.254426261297316,0.691337063239805
"ABCF2",2816.00214147679,-0.111177036473338,0.217565250426726,0.283299736999853,0.718617246337829
"ABCF3",3901.10661575832,-0.0287702251497367,0.183354248645783,0.770101213806575,0.944996644810313
"ABCG1",3222.59977881151,0.0166521302995139,0.211532357053905,0.746998069430384,0.938785480190666
"ABCG2",440.045595568442,-0.00419780513990369,0.208106079859845,0.941836828120577,0.989539008340129
"ABCG4",31.6998316992711,-0.0459723967902663,0.220846577448481,0.196207830125125,0.630383940706059
"ABCG5",603.840642620172,-0.0172790385537118,0.218702718623859,0.194486958926092,0.628502058801487
"ABCG8",859.733450762359,-0.0128873304331782,0.218941750960716,0.0168577972494865,0.219719688616807
"ABHD1",98.9504405118206,-0.0407121854368145,0.222414374425124,0.0325546688888349,0.297909705564404
"ABHD10",699.86510064228,-0.0856723806270605,0.200592949427965,0.403579006030737,0.800856246788629
"ABHD11",2104.35251217162,-0.212140359530267,0.347302777896971,0.0327733414696987,0.29853877143375
"ABHD12",2700.56839156648,0.166312800646855,0.258503027205794,0.119454664482053,0.526541765573266
"ABHD12B",49.8045592263985,-0.00741687616442429,0.218672280055988,0.0148705224915806,0.207098143385215
"ABHD13",900.353281848724,0.280280468879411,0.326292394651769,0.047043652198019,0.356908761390635
"ABHD14A",446.039647008305,-0.007388436917076,0.202156944787105,0.958314743241508,0.991847188037326
"ABHD14B",1493.37615078183,-0.084648301008729,0.228475234817134,0.189461517783423,0.621187036566669
"ABHD15",624.754242250947,0.00985877225878609,0.204326747580753,0.864665006056604,0.97228194282879
"ABHD16A",2708.7070296112,0.110644971326487,0.166687580313361,0.334592343399834,0.760559356208631
"ABHD16B",17.2426811262125,0.00229517564878869,0.20641131408752,0.974427442906959,0.994570950688582
"ABHD17A",1611.00325038368,0.0250867216350561,0.168276741824786,0.809049703683289,0.957985766298708
"ABHD17B",632.145721742441,0.107646407630659,0.232370271400576,0.219834819443364,0.658160916114207
"ABHD17C",761.567615586384,-0.0507762066845562,0.209891414155646,0.492841273440665,0.847391160806495
"ABHD2",8247.0543993489,0.0714068069438699,0.225546734068548,0.194762969793139,0.628605748464645
"ABHD3",1374.40528647715,-0.0247563839207553,0.201104281916951,0.763509842012149,0.943096334267558
"ABHD4",1074.48185558197,-0.261793182576256,0.268697868461659,0.067206211110205,0.419373945075853
"ABHD5",1299.13053020772,-0.0582574609473591,0.205756101844156,0.509487368031656,0.852732289683395
"ABHD6",468.881416517099,-0.0207400305978363,0.209865192028745,0.74299972727102,0.937155608354322
"ABHD8",746.968996577785,-0.105131985077555,0.199126682739638,0.348793180005295,0.765967703925726
"ABI1",7207.05796827159,0.252057105286173,0.378861710581787,0.042208418425457,0.335901304791712
"ABI2",3224.03589980325,-0.026923749151657,0.188342729126516,0.767640021032542,0.94426871663825
"ABI3",1249.75840861481,0.0881981886637864,0.212426878260893,0.357016306472122,0.772434748177083
"ABI3BP",2721.9105539437,0.101861494285305,0.2425205957776,0.122833717201214,0.532329415240488
"ABL1",32482.1816450354,-0.01572070516079,0.189223447708883,0.862647574404112,0.971551211817042
"ABL2",7801.61145656561,0.0056729543185472,0.212981799861802,0.755866490455236,0.940891045608218
"ABLIM1",2345.62781778996,-0.0560198072682371,0.214063490421642,0.445632187988562,0.826405175133634
