"","R-5_C1D1","R-12_C1D1","R-19_C1D1","R-20_C1D1","R-2_C1D1","R-18_C1D1","R-14_C1D1","R-6_C1D1","R-8_C1D1","R-17_C1D1","R-16_C1D1","R-24_C1D1","R-9_C1D1","R-7_C1D1","R-13_C1D1","R-10_C1D1"
"SPIC",-0.695040122283185,0.00247966442357639,-1.02889590329667,-0.586456124207789,0.93544695341107,-0.800367921453941,1.36536236535006,-1.02889590329667,-0.442410772851679,1.63472278772316,0.413514341393135,0.922585053131102,-0.619445025243466,-1.02889590329667,1.67941236667822,-0.723115856180253
"CDH19",-0.599482216838259,-0.0552532269070432,-0.861587058495837,0.107984474059428,-0.512522541435749,-0.861587058495837,-0.431627179391433,-0.77104957904832,-0.404921186753483,0.507791747319851,2.89021641930751,1.19427635890946,0.742886782865997,-0.588843908919732,0.505305232319288,-0.861587058495837
"BEND4",-0.000140362437043783,0.0611326053543136,-0.6565334142386,-0.49062350873587,0.707318538389993,-1.05882401572974,1.00224936776406,-0.729023152651603,-0.476244871157669,0.361382977862873,2.94287397938946,0.365324776791223,-0.64248879761793,-0.626498423132042,0.298918315878305,-1.05882401572974
"POU4F1",-0.398132963505696,-0.5183241594351,-0.692873749395727,-0.527598059860621,0.0892122124693416,2.76846967393584,0.269396090583506,-0.0590028301298252,-0.365534512031081,-0.0524815633059147,1.74529721796518,-0.295648902564308,-0.819413713072853,-1.00799811701393,0.673753190895384,-0.809119815534201
"CCL25",0.810035260467558,-0.697036497900841,-0.114756347693918,-0.296450477325701,1.57586671939931,-0.172969839664011,2.75975675032223,-1.11541071828777,0.0974323181749186,-0.222850792436875,0.374017019233138,-0.52438484367106,-0.3815411879635,-1.11541071828777,-0.634678478874677,-0.341618165491045
"LOC283710",-0.0301705261323007,-0.738594054929769,-0.837008892092597,-0.836751017748207,2.00081279961408,-0.606848626453738,2.35214083981107,-0.874043623604099,0.664098308910918,-0.360154406619222,0.831118250434922,0.0808870048394696,-0.636350198973688,0.15391260929832,-0.504755227100201,-0.658293239254956
"MIXL1",0.0799130066637277,-0.734610431130158,-0.523826214961213,-0.0819070114962409,1.69913721758276,-0.857552869947144,2.58619329908024,-0.80427818058423,0.805988458516502,-0.512111363799232,0.830434060745183,-0.207800927730858,-0.436210258913526,-0.210516951721427,-0.853565206990412,-0.779286625313981
"PLA2G2D",0.123154770262481,-0.765541999176808,-1.03024876030073,-0.846364443475916,1.9183980554039,-0.880401545180749,2.32737517489315,-0.769953669845614,-0.249854409050474,0.123258895085145,1.05581859514164,0.357698781826881,-0.840108136683719,-0.0447125444599501,-0.156861171063799,-0.321657593375436
"SYT15",2.26563741176495,-1.13841501281054,-1.27011009365627,0.265655793107907,-0.33054339141156,-1.018606043466,1.57250690956216,-0.0837320082265908,-0.683289701472603,-0.0227941718039327,1.18931431948304,0.221303494001129,-0.288860275648464,0.019738716034175,0.359050016345472,-1.05685596180287
"FCRL2",-0.141248161433175,-0.745369935633437,-0.557725905760754,-0.747945848401184,1.8888114567028,-0.426797273567891,2.67581332668344,-0.650919311757614,-0.549266165434032,-0.121552928661123,0.713356640113499,-0.193077576418116,-0.686945649609011,0.580428244707772,-0.445053867380933,-0.592507044150244
"MS4A1",-0.111437689745458,-0.770943450852911,-0.757789862228022,-0.311155525586857,2.12835429446459,-0.930484049986026,2.39673238507674,-0.934007866234948,-0.671146532595644,-0.00105272561386282,0.777366205748742,0.157697681416014,-0.66424625482522,0.22101086996217,-0.253620668653493,-0.275276810345811
"ALK",0.484624175329727,-0.489768773523712,-0.058682864590207,-0.893768429558812,-0.763960587657317,-1.02431600463409,-0.702058719812467,2.01212465107409,-0.241361932562385,-0.197097966271429,-0.257074727760357,-0.0305702714039007,-0.445597983972966,2.5200305731134,-0.601065222313099,0.688544084543516
"ZBED2",0.920084129200794,-0.723876939203906,-0.673336719087885,-0.326715965726994,2.07890079467865,-0.809901126563545,1.0237564409951,-0.985081402677542,0.353444228963273,-0.426164639691232,1.9954208072032,-0.724102263548538,-0.529763853857818,-0.554742109796914,-0.799481520033289,0.181560139146643
"VAX2",-1.11352107850588,0.990489333264669,1.03551129123103,-0.815066126466874,-1.23068263986914,-1.10168664032942,-0.34078523861117,2.10941407244175,0.226464070914126,0.992454524155371,-1.46873049948075,-0.114971617701516,0.618889159742643,-0.0928974938811334,-0.0749131155488989,0.380031998645184
"TRIM71",0.500344949954093,-0.809353856317266,-0.674596121410769,0.303307928864347,-0.490933729237162,-0.0539150133637258,2.48586368884768,-0.916121099307947,-0.550707611944893,-0.701053624843679,2.12492873726134,-0.380482115241767,-0.0498892619136603,-0.126684803875741,-0.874944405423988,0.214236337953131
"AKR1E2",0.858516491478835,-1.20088181958159,-1.25817961992417,-0.200613742178151,1.38796419092051,0.369858139272923,1.48595493425024,-0.76689286923206,1.45443065718443,-0.17238225381571,0.916759223602678,-0.0704995955935023,-0.782615274492959,0.21912962867258,-0.822692206434748,-1.4178558841293
"CNR2",-0.213607091914434,-0.696931301727418,-0.70644707053601,-0.366215356544243,2.04154766746948,-0.413863189785969,2.64920930235,-0.841880456395793,-1.17342537316445,-0.0418366729763229,0.474331799400614,-0.015350220216374,-0.0478228743078636,-0.238382129582878,-0.310527333772122,-0.0987996982962188
"AMN",-0.333151277986798,0.308880158286924,-0.62236454943703,-0.826413705236443,0.832441432404267,-0.938897366345403,-0.308759094534446,-1.17597421855584,-0.466370877839226,1.30188476811976,0.636542676179335,1.98670829898883,-0.388787878029073,-0.849044178000973,1.68227872667154,-0.83897291468542
"BMP6",2.45219667044088,-0.263163026565351,-0.932921287229399,-0.193059418972491,0.97505391816244,-1.32771854060595,1.85440094493291,-0.980697440791158,0.292557033319503,-0.110958011389632,-0.0741887924635926,-0.149974701249613,-0.239488322255349,-0.13346573209513,-0.507220353016117,-0.661352940221945
"CXCR5",-0.130956982414182,-0.64944178644381,-0.394897103377587,-0.507724250724516,2.25338881730006,-1.01825958482836,2.44415266420532,-0.80856769378663,-0.612049082236894,0.00946727895790615,0.620746531003801,-0.0556413400117557,-0.536072894558943,-0.0291207481420145,-0.594675581121973,0.00965175617958826
"CD19",-0.185370778229618,-0.704432917630125,-0.564610364696428,-0.691158752716878,2.14011533873244,-0.770830913020311,2.55342375990032,-0.671817013763256,0.104060208162161,-0.192890297636557,0.73892568695842,-0.0573171902231413,-0.373802945386968,-0.0732951548208581,-0.590783203877957,-0.660215461751241
"PPARGC1A",0.706305269428304,0.127096880626259,-0.898137342254111,-0.426875706681358,0.568626757017961,-1.06467668466434,-0.496001574170063,-0.840074659581566,-0.921235443548742,1.63612819445569,1.38983921514645,0.593492454756492,-0.625333288851743,-0.550083524671324,1.86053933389473,-1.05960988090264
"KCNJ10",0.594925271989795,-0.558444412883299,-0.808318702328034,-0.880084164262639,1.4983566272609,-1.0723819446033,2.32814266042843,-0.80677062763046,-0.563181302491298,0.875510928502753,-0.134197654068073,0.77402576319808,-1.01714059889223,-0.338423409623389,0.594509477142949,-0.486527911740197
"HIST1H4D",0.363190229671391,-1.52665723463545,-1.07220170970804,-0.418668005948891,0.802231116163476,0.930328351237785,1.05107288142899,-1.71317327127613,1.02807133796496,0.881316391550692,1.60162851359436,-0.260113713347086,-0.3393967282574,-0.503261880081467,0.0822528213968908,-0.906619099754087
"GPR114",-0.36860010545691,-1.05592869029406,-1.19690012698125,-0.977599016542194,1.64543666552359,0.883721360260866,2.23607783930185,-0.785736546960913,0.579352889344763,-0.202147017543565,0.394674480137694,0.688915890170039,-0.670080853773534,-0.138210958658224,-0.165410164726525,-0.867565643801611
"FCRL3",0.245424306110711,-0.825528310794637,-0.974887057400103,-0.669730928606406,1.82607012391659,-0.503379745049615,2.57949534484367,-1.05390323125514,-0.317788800507658,-0.0514548796235123,0.497578130630064,0.125123237239024,-0.748274480987125,-0.440036173273453,-0.255461373719936,0.56675383847752
"CXCL9",0.56884532254503,-1.10150684510835,-1.00965810268202,-1.07765844644434,2.10728296519292,-0.0619135513814948,1.99597774974985,-1.011986073958,0.858974591045042,-0.313778267737455,0.036780838511619,0.191688586382603,-0.220889263159322,-0.892507743101642,-0.266820888039819,0.197169128185373
"ALCAM",0.496431617042766,1.00295775261485,0.882803164680455,0.0455547756561882,-1.3850203078224,-0.747400226922563,-1.6672351589634,1.47440759959447,-0.784715075369416,-0.806931458557822,-0.488060786876806,-0.0930323168558194,-0.160216092649518,1.76846218825639,-0.386317171459792,0.848311497632422
"GHR",-1.02763221836597,0.732149405039428,0.139126567492841,0.466503336692074,-1.35307051283185,-0.682208062330059,-1.28672401110214,-0.332577910790154,-0.0598387271253144,1.68801322752958,-1.14571262681399,1.25881124948778,0.117844186711268,-0.229634818406368,1.81170107803351,-0.0967501632206266
"MORN3",1.1076940563335,-0.162171869217078,-0.83976615374446,1.01737036260832,-0.706269034843756,-0.379702812969656,2.43739790160727,-1.5561631927642,-0.191190420136987,0.195193569598092,0.444215511470221,0.648088693223373,-0.643582284039856,-1.14326819007328,0.416031647724771,-0.643877784776286
"KLRC2",-0.225735637594382,-0.863866009772421,-0.489016418273577,-0.376133946208222,1.77233589510337,2.89343273591363,0.564463838946252,-0.601405797573869,0.269133435378819,-0.648869442735966,-0.469419372663407,-0.272506158838553,-0.0820284200690562,-0.664788427867298,-0.219105802202519,-0.586490471542797
"CCND2",-0.411235471678807,-0.834897721163008,-0.799504979802053,-0.010192538700237,1.24463675428006,-0.848785660413128,1.33736188478288,-1.09603628936931,0.284124896866266,-0.444998999378027,2.54918767223213,0.0658088474578821,0.0496173123530873,0.455078585705986,-0.940490325053402,-0.59967396812033
"KCNS3",0.0514116768183802,0.801378145056978,-0.0625230736159839,-0.328851801435006,-1.84762642333214,-0.229295033585326,-2.3285354151564,1.48645830352799,0.378193037907204,-0.163414560586822,-0.650696546040503,0.247473364440655,0.519590047135339,1.38576763964272,0.484695640411581,0.255974998811337
