"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"A1BG",6140.92873273167,-0.00649379170922662,0.0853708647590363,0.536074317100271,0.963817196627306
"A1BG-AS1",324.672366216668,-0.0108299846797859,0.0844395488593727,0.551895970466924,0.964340349395828
"A1CF",3080.88470215979,-0.00328480185983576,0.0856831141382923,0.466199015764276,0.955014935025492
"A2M",56878.7097181489,-0.00896539894731147,0.0854875685917667,0.458583635123027,0.953735841211472
"A2M-AS1",39.2120378370201,0.000495751757021219,0.0843654023748005,0.97612210202833,0.998164392608132
"A2ML1",474.188749680189,0.00356838446585655,0.0857452075943784,0.209835948029465,0.849205604425269
"A3GALT2",19.8798951137057,0.00285918930370688,0.0853259801014545,0.744849216750847,0.986986798037839
"A4GALT",1173.42721734409,0.0093578491351471,0.0851296174313552,0.521369053220934,0.963817196627306
"A4GNT",2.32041893624508,-0.0013978814300296,0.0856949881659998,0.914214224052503,0.993783013457961
"AAAS",1569.18263349908,-0.0180539337249297,0.0840809257002351,0.465355020081625,0.955014935025492
"AACS",2666.99401673755,0.000100946421096834,0.0851075714809509,0.990622109770378,0.999091381094909
"AADAC",1806.5563590583,0.00652498509930531,0.0859676093827775,0.0676130306706261,0.623309610445264
"AADACL2",73.2736196244008,-0.00142315299207828,0.085667951857318,0.91037378137933,0.993783013457961
"AADAT",1061.26966247414,-0.0141173692486167,0.0865091093881604,0.233585085327,0.865745984329367
"AAED1",733.260869585476,-0.00627636148991143,0.0848848689788997,0.634608983806214,0.976478788008655
"AAGAB",2059.05158657828,-0.0076643752594158,0.0842669104083799,0.658212871929308,0.980148322800407
"AAK1",5426.08718160286,0.00636722540020525,0.0842023316126925,0.706159458299872,0.985962364458122
"AAMDC",348.881403515098,-0.0244911368792304,0.089260556277185,0.13452668120014,0.766560044122444
"AAMP",3187.54087099939,0.0182698097642905,0.0844178556566909,0.455727421642859,0.953402472458276
"AANAT",2.50032167556479,0.00359781569336353,0.0856564364503981,0.493679099332362,0.959749595175905
"AAR2",1068.30965200817,-0.0046044729275513,0.0826816874711916,0.833863068469879,0.991541912067889
"AARS",10530.2691362524,-0.0134924075369955,0.0860967846106968,0.334312968263895,0.920466244739364
"AARS2",1915.42458894312,-0.0039370234329939,0.0829023689369777,0.857046944140036,0.991957234222027
"AARSD1",4.70748950833687,0.00292315454095123,0.0857013891965956,0.400107069872155,0.934603246163531
"AASDH",2188.22174874942,0.00927546280284371,0.0847271178596559,0.556206652916653,0.965293683938671
"AASDHPPT",1236.34240977107,-0.00112565595208609,0.0835949274180192,0.931434793895998,0.99417968390034
"AASS",2299.27485161251,-0.00477520475085652,0.0851670337757988,0.677106354661931,0.982363627516816
"AATF",2364.53629236963,0.0283626093971632,0.0874880511601807,0.285188229897064,0.896302745090259
"AATK",554.606746427701,-0.00606334442658287,0.085758874274113,0.275311976226534,0.888126493376742
"AATK-AS1",2.19412223340332,-0.000897940529068133,0.0857277121815139,0.346270258855952,0.92406933412214
"ABAT",2687.68743479929,-0.0148316224362419,0.0870470315743014,0.132638850556636,0.764454496486678
"ABCA1",12205.3181800079,0.00700937413793611,0.0841604925555637,0.695428118698832,0.985962364458122
"ABCA10",1375.50607170775,0.00192692783107702,0.0849437252589936,0.865502158838095,0.993146141705181
"ABCA11P",362.348842431754,-0.0418254711929841,0.0975705225827246,0.0753273180514436,0.6441228846034
"ABCA13",320.032280180121,0.00094747054613878,0.0855558095584725,0.837617001214619,0.991706206563175
"ABCA2",12970.5719637005,-0.0092804144676125,0.0858029515657413,0.329868052512356,0.918829401230368
"ABCA3",9413.99104779784,-0.00259307377483289,0.0853932553770807,0.68393792583126,0.983929959717614
"ABCA4",615.765297629132,-0.00407738892179487,0.0856581671605588,0.472037355129105,0.956048129305385
"ABCA5",4370.31010135886,0.00518809496086131,0.0841580722825032,0.756064858803421,0.987536419538637
"ABCA6",5334.03995752315,-0.00559859293810103,0.0852405186242341,0.617694283660443,0.97486905628346
"ABCA7",5191.26229793112,0.00735112784231035,0.0851860131435341,0.550624478407312,0.964243702558041
"ABCA8",3780.49057820877,-0.00147121459139731,0.0854368553380304,0.828544377291451,0.990431552717264
"ABCA9",2067.48747035815,-0.000378424901919627,0.0850459526547907,0.974395375555134,0.997864351693633
