"","R-2_Week_8","R-6_Week_8","R-23_Week_8","R-16_Week_8","R-4_Week_8","R-13_Week_8","R-10_Week_8"
"IGFL1",2.26114859075614,-0.267348153601446,-0.430919050915298,-0.430919050915298,-0.270124233493503,-0.430919050915298,-0.430919050915298
"LCN8",2.25779024192473,-0.330808399135333,-0.504621466730014,-0.321583083761584,-0.333762736033156,-0.262393089534631,-0.504621466730014
"FCAMR",2.25324701063022,-0.399034272381516,-0.511402096314672,-0.199913716421167,-0.290978516203364,-0.511402096314672,-0.340516312994832
"PLD5",2.16952098961872,-0.589009707372449,-0.331856011541581,0.218796096111917,-0.540814313972798,-0.281057916161,-0.645579136682805
"CCL21",1.91433714494558,-0.11916535884052,-1.02221886812318,0.277747563200906,0.37139673610131,-0.553058092735766,-0.86903912454833
"COL11A1",-1.82309307184478,0.857758397579742,0.861478455800442,0.0150910148291014,-0.400078365170009,-0.43331806191652,0.922161630722028
"SERPINA9",2.24964492232335,-0.487340608918923,-0.487340608918923,-0.296086057584023,-0.487340608918923,-0.340962617575079,-0.150574420407484
"P2RX2",1.91725462123634,-0.772607560463485,-0.833801466930275,0.517451648297688,-0.239701427225491,0.222205669200113,-0.810801484114885
"PTPRQ",1.15543222790809,-0.50401120394367,-1.05694812278379,1.30363403700105,0.536880489750283,-0.34566518030372,-1.08932224762825
"MUC4",0.842953455069284,-0.325732100810765,-0.555440444534049,1.86121553869306,-0.797982322320381,-0.159953566323395,-0.865060559773756
"SHISA3",2.14135962412796,-0.679063677729935,-0.634551640023494,0.294739692788386,-0.529958246640283,-0.234923311143642,-0.357602441378992
"SIGLEC12",2.17454525100332,-0.304814370564336,-0.343388179035744,-0.326367123461876,0.088906544012183,-0.404131599714636,-0.884750522238911
"PTPRD",-1.29924914412956,0.518772419568346,0.691840691407464,0.875907943359509,-1.12783843156983,-0.686150118274977,1.02671663963905
"ADRA1A",1.70918850335136,-0.873446516395641,-0.536852595089225,1.11294040558045,-0.241875047681662,-0.433289882253775,-0.736664867511507
"TMEM132C",2.09421226664298,-0.863864047014654,-0.666301836144417,0.34238538910619,-0.448721325538538,-0.247930657093677,-0.209779789957881
"CLEC17A",2.14631757893314,-0.621606993939639,-0.655628115177563,0.149015367708653,-0.474996531651672,-0.573022518059672,0.0299212121867548
"MMP2",-0.664432013368121,-0.0665523391727522,-0.31027554167456,0.768905755036616,-0.907215543174386,-0.70402379118209,1.88359347353529
"TNFSF11",2.22147291185687,-0.50083700727987,-0.522479815392841,-0.146864429203951,-0.524603216524138,-0.49329767674033,-0.0333907667157421
"MMP11",-1.63299547169046,0.563135498211663,0.400828701044179,-1.24217439909324,0.46323643451077,0.881540743138379,0.566428493878712
"TNFRSF13C",2.11080512380168,-0.436167577642915,-0.2342251003331,0.0935668529350215,-0.657134343382449,-0.925448830576039,0.0486038751978051
"FAM129C",2.02554806784212,-0.741667659363143,-0.665239153755433,0.304782768954733,-0.578345388768679,-0.629499610658353,0.28442097574875
"CD22",1.94320924631953,-1.10572155672293,-0.793792976400762,0.3038878078129,-0.302303291863584,-0.327967463227468,0.282688234082307
"AFF2",1.92510957858146,-0.0953855779826884,-0.441324192602119,0.474057966203266,-0.918379848098443,-1.00883202979097,0.0647541036894959
"RBP5",2.07269065283697,-0.727982439733406,-0.777028943664449,0.22178738002557,-0.395638677797309,-0.575695720377563,0.181867748710186
"CGREF1",-1.43421886840871,1.10451130716631,0.963817982432455,-1.22612521326346,0.157893456138694,-0.0758402174302258,0.509961553364939
