"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"A1BG",285.630192757177,3.17845947253794e-07,0.00144269333022321,0.774815589370234,0.999991371923663
"A1BG-AS1",471.076474111518,-1.710924794292e-07,0.00144269365431096,0.864531162397748,0.999991371923663
"A1CF",20.6313671252839,-2.25783608054611e-08,0.00144269503374514,0.972189480842206,0.999991371923663
"A2M",58697.7861952983,-1.07970299394253e-06,0.00144269419324626,0.227969587279964,0.999991371923663
"A2M-AS1",102.631385456338,1.83364481934835e-07,0.0014426943482682,0.805303766534177,0.999991371923663
"A2ML1",212.495528282066,1.22542732086059e-07,0.00144269480728287,0.724703275688167,0.999991371923663
"A4GALT",1560.18972446531,2.05331121307899e-07,0.00144269305919309,0.86281160635496,0.999991371923663
"AAAS",1743.81483993644,-1.23911594163128e-07,0.00144269307980036,0.917076181204724,0.999991371923663
"AACS",1361.07194407664,6.24129593327231e-07,0.00144269299614551,0.611853146427897,0.999991371923663
"AADAC",39.2309566603336,-5.34679485996819e-07,0.00144269485797785,0.213565731433633,0.999991371923663
"AADAT",372.018189582678,-7.88597418919238e-07,0.00144269435920038,0.310015031044363,0.999991371923663
"AAED1",943.818462669287,-1.20052309495238e-06,0.00144269357741111,0.287398985134526,0.999991371923663
"AAGAB",2414.11747365993,-1.11221827360396e-07,0.00144269341828365,0.920526408682244,0.999991371923663
"AAK1",7057.41432786849,-6.21404751845056e-07,0.00144269253879078,0.645151529260205,0.999991371923663
"AAMDC",330.426676112527,-6.16798287960487e-08,0.00144269392601221,0.9477266320446,0.999991371923663
"AAMP",2809.40089529284,-2.49175327553732e-07,0.00144269261326735,0.850834046454319,0.999991371923663
"AAR2",1163.06309735799,9.83266216971574e-08,0.00144269291883842,0.934995377613987,0.999991371923663
"AARD",846.492431854372,4.03838649909174e-07,0.00144269489383018,0.266336388181795,0.999991371923663
"AARS",8084.06731199207,-8.65484283610357e-10,0.00144269246899425,0.998522566944412,0.999991371923663
"AARS2",2124.54478416708,3.72100078639311e-07,0.0014426926170856,0.778158220917271,0.999991371923663
"AASDH",2276.436296769,1.60540667639212e-07,0.00144269321166523,0.889806770281193,0.999991371923663
"AASDHPPT",1208.66008544881,1.26809488087181e-07,0.00144269299566526,0.9172937606472,0.999991371923663
"AASS",1663.71069377482,2.84178857363201e-08,0.00144269404406247,0.976939613291553,0.999991371923663
"AATF",2961.27404011678,4.63273341800715e-07,0.0014426929458576,0.706993612028671,0.999991371923663
"AATK",991.251225793551,7.73952367207258e-07,0.00144269482475523,0.139981067315384,0.999991371923663
