"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"A1BG",3797.17012040042,-0.295107504033297,0.422268381621702,0.15695487315501,0.61700425366994
"A1BG-AS1",311.352720972723,-0.200375606911953,0.367830713486406,0.296816089177525,0.764360620657889
"A1CF",2052.16173323391,-0.111181733238154,0.396694397698762,0.18340877727103,0.652812517623288
"A2M",49587.5980442453,-0.0788284648243865,0.349757869843771,0.557486576779292,0.895393365921981
"A2M-AS1",27.4243260785233,0.112545746633724,0.384026741597284,0.27506508399707,0.746783801777878
"A2ML1",263.043187818286,0.0366284204974672,0.37597433554736,0.144761176621797,0.599952072228771
"A3GALT2",16.6377765376416,0.0150778598484818,0.362475622865497,0.878897415925856,0.979005292071764
"A4GALT",1203.88953920658,0.168431278491487,0.355334252231596,0.352333204729994,0.803363633639377
"AAAS",1429.17919406901,0.0856935428124523,0.315269682955046,0.630645362166211,0.919252440363339
"AACS",2283.45911758156,0.0625366075056368,0.331757708343146,0.705867250638427,0.939567579138582
"AADAC",1569.56828987423,-3.85135033773371,2.8515662963977,0.00528354647556252,0.107585609197349
"AADAT",875.189875861776,-0.0457932201947767,0.309029389991257,0.800766477056185,0.963570432832621
"AAED1",819.847818435761,0.170358642603546,0.371943020107547,0.294394402818654,0.76371164059844
"AAGAB",1641.09752700428,-0.0358954004662932,0.300240914644801,0.847105683447598,0.971526765157383
"AAK1",4848.36081239142,0.221780767257292,0.362717747796982,0.260612355177713,0.733814300433788
"AAMDC",294.280483056759,0.110679076225421,0.32419383011373,0.543384151007141,0.889331289495427
"AAMP",2973.97061097889,-0.0488375641403286,0.326289083473989,0.773932070116762,0.958999934587795
"AAR2",925.039875942918,-0.0566009697265876,0.304149370864108,0.74901385028791,0.95166536698068
"AARD",1648.04501477029,0.207618693497675,0.447141914240037,0.0090915084871148,0.149057086516353
"AARS",9355.70480554152,0.0520797716685974,0.316793250833205,0.755663779388873,0.954598528321686
"AARS2",2067.21746169696,-0.207162839219158,0.33403657863292,0.286771436824493,0.758164479406877
"AASDH",1875.92972179274,0.124581275623338,0.34754913571453,0.464984536918454,0.856095713150548
"AASDHPPT",1223.96094946867,-0.0626063291657309,0.305011282200031,0.735910783645816,0.947324493817096
"AASS",2087.09185961195,-0.359102016237551,0.410972127449014,0.122190110000722,0.561492648336652
"AATF",2215.83593837173,-0.0172468585453847,0.296462221088983,0.931896467328734,0.987394299671142
"AATK",213.232318742375,-0.0604927365013502,0.347805138235649,0.674747634154405,0.93246264368162
"ABAT",2258.02213902688,-0.499754871576326,0.78468684228263,0.0264910185441702,0.271265585507663
"ABCA1",10999.2682868533,0.211497545034063,0.399151237903067,0.191906178357314,0.664373657033606
"ABCA10",660.396973112577,0.122992408780941,0.345932899192616,0.456795188556039,0.852129435109113
"ABCA11P",327.579057664314,-0.306306804067625,0.420940352177049,0.153561873927153,0.613376861553501
"ABCA12",2671.21678878404,-4.40729365066249,1.04761756609935,1.53666526338013e-06,0.000252639152005347
"ABCA13",446.505155257188,0.0168525805849826,0.374447313620301,0.526520609069686,0.882260992867
"ABCA2",9118.75343897615,-0.284976690065402,0.418738110910699,0.164051197613383,0.623986920677823
"ABCA3",6251.96552885596,-0.331198216219962,0.564106344439918,0.0292730331161323,0.287325580989522
"ABCA4",243.368615790023,0.2800474333379,0.452419546564522,0.106255269968655,0.526242651175483
"ABCA5",3731.78688339473,0.222660223254967,0.362777850890775,0.259251116109775,0.731797291279249
"ABCA6",3196.63812994113,0.00936468863759579,0.346589424494867,0.976435534779323,0.996114525416298
"ABCA7",5015.84879694618,0.24257453096648,0.422278004405168,0.134645176229946,0.583160567631059
"ABCA8",1735.93229651717,-1.80974703736379,1.04575314025012,0.000668875329380419,0.0292525870652185
"ABCA9",1274.98723050203,0.0268915425458372,0.362919708324539,0.742499901869784,0.948545093718964
"ABCB1",1190.32494482135,3.14396524605285,0.853933345371107,3.98706620314722e-06,0.000575393135914301
"ABCB10",2070.51267033425,-0.125814617750909,0.328418997631226,0.4969953760901,0.870110595087938
"ABCB11",1344.0432020497,0.128763594384763,0.393791896828715,0.108684735867401,0.532468508960681
"ABCB4",2542.73691719069,0.135861176202091,0.369752671380149,0.358192180863863,0.805831974462699
"ABCB5",30.7349436956478,-0.0346225312963726,0.376291901642091,0.268488169296004,0.740763991670005
"ABCB6",1244.69736705406,-0.180509810835513,0.373701762365837,0.300082984394533,0.766783368448072
"ABCB7",2696.28642425659,0.0726565537296689,0.311647772365874,0.682762502243866,0.934724262095583
"ABCB8",2266.02870838835,-0.0558832084786267,0.334447115517482,0.736697798494784,0.947747146071105
"ABCB9",474.834594857925,-0.115895233680873,0.346579780396097,0.49995314597235,0.871367816656334
"ABCC1",6665.60569317947,0.373819400292614,0.451875009756315,0.097603362536534,0.507777704423879
"ABCC10",7113.92326622484,0.309792913260018,0.481313911369379,0.0937569793862797,0.500225037855404
"ABCC11",15807.3549748524,-0.0491119285990331,0.382326010939855,2.91242167786405e-07,6.54066191742933e-05
"ABCC12",3238.3833358076,-0.0171717106218233,0.378276800376589,0.000202597029134205,0.0119116319513475
"ABCC2",2335.89379939445,-0.0835658447590411,0.370773900914359,0.336537955729418,0.794386946842498
"ABCC3",5058.07120815522,0.296878077844864,0.375064314151775,0.175488902192375,0.641940862655092
"ABCC4",2060.18587463371,1.56317792354152,1.1664756366096,0.00280151536171039,0.0727850789471251
"ABCC5",4067.63913841479,0.00408021495871638,0.293302842669512,0.982252817759897,0.996932793118984
"ABCC6",1780.43703297821,-0.156668677508092,0.419516326424007,0.00420260426570289,0.0936279063259982
"ABCC6P1",226.971893919371,-0.156804546859445,0.421084302949473,0.00321983363362465,0.078652098837007
"ABCC6P2",53.0264176599305,-0.440859341985802,0.959060947564091,0.00171371050586392,0.0527507368174683
"ABCC8",12.1756384915319,-0.0505080262252237,0.379414942392289,0.448237691968168,0.848538478397665
"ABCC9",2775.47050476025,-0.282988832930358,0.439408240052518,0.12565439784909,0.568727883815562
"ABCD1",4386.46517011897,0.872011900459702,0.580474723755505,0.0085877724582712,0.143853290348173
"ABCD2",377.234769761183,0.439168139529514,0.863800006807463,0.000457017548344626,0.0221045178305407
"ABCD3",4966.82612766955,-0.0642943558992377,0.305445103833193,0.7222557202468,0.942239711918643
"ABCD4",1660.5073263769,0.0963410456124561,0.307676279444216,0.608555295377592,0.910934734844421
"ABCE1",6055.95367458542,0.227136881604707,0.352630675524575,0.244488033887342,0.715376001292233
"ABCF1",4112.79931481882,0.0841529511012181,0.316311993523673,0.645314414698913,0.924899665624169
"ABCF2",3109.84897284782,-0.223280932200509,0.34894978484592,0.275610074202145,0.74702068043555
"ABCF3",3209.02587938761,-0.0510541865811811,0.302638161167411,0.784236537277944,0.960528727860201
"ABCG1",2127.8310018817,-0.0776582865168981,0.311813599723773,0.660365239517734,0.929042484183257
"ABCG2",307.781483608643,-0.135087183371803,0.364053382313815,0.356840868282782,0.805091036496707
"ABCG4",29.6518498468032,-0.040560931299734,0.370593099250914,0.596978050225119,0.908582761488233
"ABCG5",614.312992334748,-0.0418711344327414,0.372270394369841,0.546500844305744,0.890653418218705
"ABCG8",885.89428859965,-0.0081712712038673,0.377665711300313,0.46229156887833,0.854803532595856
"ABHD1",47.8291777694747,-0.0439943598443453,0.365423400908426,0.671687334108069,0.932165644569922
"ABHD10",535.900011547407,-0.102340890066901,0.318003239287198,0.57156369235869,0.900379332651452
"ABHD11",1794.56422070056,-0.417212313615725,0.546145001435259,0.0714787891543454,0.444857125911166
"ABHD12",2085.89594240694,0.377879724300779,0.449109717206495,0.0914169949167199,0.494775621277349
"ABHD13",801.715710556709,0.449751664385537,0.510934960232846,0.0636124711880145,0.420202023219637
"ABHD14A",311.170683250303,-0.0676163730504534,0.324017136255843,0.699871551131164,0.938079161988914
"ABHD14B",1443.7604034188,-0.176849396526589,0.3910375047488,0.246370665753749,0.717163268837914
"ABHD15",462.998668755355,-0.0805862693386312,0.326585303877985,0.648452040573952,0.925623384186053
"ABHD16A",2496.80385843829,0.0759582001849623,0.312577485345773,0.671135763387069,0.932165644569922
"ABHD16B",12.2943965254507,-0.00249642800203464,0.365004250451472,0.978358592497007,0.996142850414407
"ABHD17A",1484.92572403855,0.0112244088468667,0.308977752802468,0.950731195263509,0.990970537311351
"ABHD17B",635.637901594233,0.135375531118541,0.377327035585303,0.27129819479977,0.7442074381321
"ABHD17C",573.021330411861,0.0189464991606113,0.303492457814263,0.913506134264904,0.984332872787463
"ABHD2",5312.46715985393,0.284661988256581,0.39803841649134,0.163533176252155,0.623779823315417
"ABHD3",1411.87448337802,-0.0243387795055207,0.342251672505397,0.864530225249122,0.975394558428623
"ABHD4",756.292420042558,-0.28810214286259,0.370420658383397,0.186155078890878,0.657000512976828
"ABHD5",1042.26020175414,-0.141242051832505,0.331867895542568,0.428720832415811,0.841661377252531
"ABHD6",525.727260139656,-0.0320435020476938,0.331423060601759,0.831050167987699,0.969805034361132
"ABHD8",689.180926147873,-0.0570032271247376,0.321306106592599,0.740627500949788,0.94837084946774
"ABI1",8118.12510185106,0.906805603173364,0.543087305870459,0.00641454195828168,0.122206659883315
"ABI2",2427.85528759256,-0.0783307357798447,0.299444276405032,0.67485979238853,0.93246264368162
"ABI3",1239.93189842251,0.0221583562931445,0.33846026101666,0.861316294865619,0.974239144128096
"ABI3BP",2081.91067099956,0.0312042931454158,0.363448919672706,0.693263207402647,0.93739242690933
"ABL1",28246.0165255969,-0.0685264224385822,0.325259077302269,0.696571138646514,0.937711564251118
