"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"A1BG",4322.04925184502,-0.159410799168379,0.302772109673577,0.237346220939734,0.853938439513273
"A1BG-AS1",307.134111197797,-0.157684629127182,0.307910870738542,0.228476834003617,0.846605546035297
"A1CF",1654.54321179798,-0.063680726499856,0.300890925576998,0.240553781703995,0.855015820056362
"A2M",67942.3943532478,-0.0883379227145239,0.290011010831218,0.355718367952528,0.925703769669586
"A2M-AS1",42.4267063130772,-0.0350655256888465,0.283873750281303,0.664430705133044,0.986816839630111
"A2ML1",616.286827511984,0.0275732443933131,0.291927305959851,0.294760003251394,0.890734491312897
"A3GALT2",20.9001157443314,-0.0514652915170783,0.293855701512039,0.39270624338032,0.935471189152556
"A4GALT",1135.72837428353,0.0180438300825492,0.26818256092641,0.875674640806313,0.996176452250111
"AAAS",1299.95100774431,0.0555768256737541,0.256516695416207,0.672782864469113,0.986816839630111
"AACS",2632.77835145049,-0.225301383445211,0.389447439955277,0.0616992251069751,0.558970050489354
"AADAC",969.225672943902,0.0154265912716562,0.290851890063731,0.59319334699737,0.985320578540019
"AADACL2",40.7489065053145,0.00716077663666787,0.293298837224107,0.627979106859916,0.986143903080278
"AADAT",1156.33976099483,-0.0652893507281848,0.286452600673329,0.507522546881557,0.969529491306323
"AAED1",796.824625972756,-0.0484986307817598,0.285679046843851,0.522110640479507,0.971112177822389
"AAGAB",1589.87361509623,0.156265364232165,0.28736045522944,0.278169964480384,0.883264363619334
"AAK1",5556.85550575951,0.0605920801000452,0.278798148139886,0.546130205975857,0.97643091932135
"AAMDC",294.278524743751,0.0145489294581018,0.26703446719168,0.896216694677935,0.997740047990276
"AAMP",2758.4483183488,0.120652533349613,0.284024188119335,0.351377273031465,0.923845093089041
"AAR2",982.759866849056,0.00640141425431492,0.264247295145909,0.953004061075248,0.998777229940701
"AARD",2061.16372166928,0.857862116197483,0.784261714176326,0.00894172974912451,0.204587689081372
"AARS",9477.45420033548,-0.0572219906211417,0.269919737012193,0.61808094451256,0.986143903080278
"AARS2",1942.59434618329,-0.0730242509484115,0.27761683158583,0.491210417261934,0.966507838522089
"AASDH",1875.05380512285,0.461432182944564,0.540215148641967,0.0317700481396407,0.407939243757247
"AASDHPPT",1176.2341215281,0.140904222403558,0.284995377455094,0.313738532439068,0.900012220072494
"AASS",1810.11177796811,-0.184960682906946,0.339918883362774,0.123928882875079,0.717803132390434
"AATF",2066.00847436124,0.0605375151616835,0.256520874728716,0.650958445439082,0.986816839630111
"AATK",232.98092177355,-0.0457980067837399,0.283966181897121,0.581399025654197,0.982027845780131
"ABAT",2019.94868999171,-0.112824631530294,0.293873147429585,0.3132763176234,0.89989487439857
"ABCA1",11505.7759093634,0.00709726755657818,0.25461570608967,0.956145131448522,0.999276298667083
"ABCA10",715.57487379795,-0.0764602392873475,0.28464012200531,0.461834492158604,0.959902328861446
"ABCA11P",267.306914491739,-0.0810566669265253,0.275517706066164,0.500852666770731,0.967805679170407
"ABCA12",2421.64632979749,-0.126408106719469,0.33569375606779,1.98546975465075e-06,0.000487881595327741
"ABCA13",535.158645361501,-0.0480271380615646,0.290366927067891,0.502674668310647,0.967827629360344
"ABCA2",6244.22308701742,-0.184784823975778,0.308720249784066,0.187025794322618,0.806442328595344
"ABCA3",5771.5506575504,0.157949300862372,0.3204566321169,0.184181006011343,0.803143036389907
"ABCA4",272.178493422537,0.142619898617409,0.303953371843113,0.253503847670287,0.868728496520494
"ABCA5",3650.14210907498,-0.0748661844378112,0.271144812958623,0.549729213062366,0.9775022426559
"ABCA6",2905.28237671435,-0.306363885086461,0.474593199713412,0.0441893577466818,0.484812660097847
"ABCA7",5320.45002071011,-0.0956729521240595,0.293033569608185,0.340812605603715,0.915548204816126
"ABCA8",1998.3076601457,-0.0608677854474963,0.297742842456583,0.079351480327908,0.618603587189054
"ABCA9",1205.18771232481,-0.119856095170115,0.310538615317046,0.191531541579974,0.80964784014615
"ABCB1",1200.98214889563,1.88746240332583,1.53600359447054,0.000694157248600383,0.0382121429612652
"ABCB10",1826.27209528943,-0.0662599679885229,0.268639850155258,0.587684304108099,0.983306604499342
"ABCB11",1587.17910762892,0.0116510506018394,0.285535977818763,0.859763743662436,0.995432291939246
"ABCB4",2187.60862946695,-1.3779565701512,0.582174545111794,0.000729265671137955,0.0388878755877187
"ABCB5",33.0595434100792,-0.0929101439240023,0.312082200845876,0.0251989622186402,0.366752759311414
"ABCB6",1267.56192245751,0.126477906480499,0.293580165260907,0.318946353964651,0.902730030410571
"ABCB7",2756.18139229135,0.0551361458841728,0.261946685927086,0.661852517155145,0.986816839630111
"ABCB8",1803.26148395909,-0.0557581270846893,0.273329153384005,0.617549499938525,0.986143903080278
"ABCB9",467.671111142423,0.0247792960863753,0.274847800234668,0.799004326249803,0.991145731856036
"ABCC1",7474.38796215665,0.228273455470946,0.341482698127773,0.12973114336357,0.727224140517414
"ABCC10",7219.21393202821,0.106723048487696,0.307381737328572,0.152598173098403,0.766537672651681
"ABCC11",6804.97575441587,-0.00227613184327433,0.293286883839209,0.0605126403773171,0.556083826282043
"ABCC12",419.764596237665,-0.00345661375257746,0.293257027045625,0.116462414165245,0.702219423628965
"ABCC2",2319.60816327721,-3.76073586674295,0.551166084780942,2.31326391912591e-13,3.77230256193459e-10
"ABCC3",5886.83654751536,-0.0940475462927198,0.294480682877292,0.304822965998245,0.89708335307655
"ABCC4",2131.74972310286,0.0934022292252014,0.28987879344327,0.38510498907082,0.934800920345168
"ABCC5",4781.57896744725,-0.126490287784846,0.288531060517871,0.325585905507656,0.906033563564739
"ABCC6",1646.6928112503,-0.5202552529652,0.683272207168265,0.0225846973226809,0.3465355008039
"ABCC6P1",216.30131143566,-0.0114805407530021,0.281061866601685,0.89455907463279,0.997740047990276
"ABCC6P2",35.2583811968638,-0.118728611874187,0.321151438537047,0.0935231491484091,0.652039991159979
"ABCC8",74.2417483966583,-0.0172671233862895,0.292038020092746,0.464604472109503,0.959902328861446
"ABCC9",2179.80175197149,-0.197820317645218,0.34414222850675,0.124398156619422,0.718847367646391
"ABCD1",4026.21567648575,0.032870615646346,0.276544218149069,0.808476142472276,0.992139340307204
"ABCD2",352.655661079233,0.0987182291116519,0.299564397386437,0.262686976289113,0.877758163304811
"ABCD3",4791.91324108448,0.0942346940659472,0.284068849229006,0.406580185583971,0.940055562710347
"ABCD4",1904.79540576271,-0.0320027597006412,0.254999143478568,0.79868033042521,0.991145731856036
"ABCE1",5689.20833441379,0.127582630837402,0.27221211375356,0.386170906773091,0.934800920345168
"ABCF1",4109.78350578703,0.134588632887124,0.277934920176021,0.341254956518676,0.916038406639642
"ABCF2",2885.98548445075,0.038432458009942,0.266821290846572,0.720976722394899,0.986816839630111
"ABCF3",3110.46613503681,0.186401495326355,0.310154997980018,0.200051981830407,0.821716642731362
"ABCG1",2221.7663054517,-0.0436464222481029,0.257528804729051,0.708460742955862,0.986816839630111
"ABCG2",587.332476459909,0.0597271705101605,0.286324399389152,0.465347059541869,0.959902328861446
"ABCG4",42.6900268558974,-0.0145823996852913,0.290797024144969,0.661376849802777,0.986816839630111
"ABCG5",617.65610081908,0.000467083904749165,0.291257022935486,0.92565385536302,0.997801126534378
"ABCG8",960.029139677752,-0.00879064655774261,0.286482744131987,0.905595328270005,0.997740047990276
"ABHD1",68.3842087625274,0.0162864982711094,0.283194187221268,0.822458026167834,0.993371680285284
"ABHD10",543.44259362767,0.0394262746706383,0.260914547675007,0.743103017446887,0.988210615235606
