"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"A1BG",4121.14924931856,0.000830713300035343,0.0224685299309546,0.780425596563912,0.9999969837863
"A1BG-AS1",320.192400557291,0.00124157778493906,0.0223349297789805,0.754396157772026,0.9999969837863
"A1CF",2029.52593889387,3.85933946054861e-05,0.0226501063630238,0.854465229342394,0.9999969837863
"A2M",45788.404228882,-0.000663567041321008,0.0224376932445827,0.829546545349772,0.9999969837863
"A2M-AS1",32.3135106187684,-0.0010087710132535,0.0226136613621414,0.556042870788765,0.99946125707123
"A2ML1",395.882137525952,0.00300835985847514,0.0228995250974669,0.0354316674986886,0.708192173790393
"A3GALT2",20.3826063410891,-0.00134685624146995,0.0226650508032586,0.30180177951427,0.969363336552865
"A4GALT",1230.32600888438,0.00364318791887081,0.0229395207417973,0.145926775567098,0.911563824139007
"AAAS",1550.81822748133,-0.00796790270967507,0.0235807621066143,0.224827749717025,0.945941238922997
"AACS",2495.86176434038,0.00110636328756554,0.0223427366692163,0.774971671645299,0.9999969837863
"AADAC",1407.04755757314,0.000104794776294025,0.0226479353592877,0.709087916613181,0.9999969837863
"AADACL2",49.3531202775972,7.06892439104889e-05,0.0226515579174901,0.6739242041967,0.9999969837863
"AADAT",880.869170145235,-0.00902772412565254,0.0249230524629215,0.0399682294099101,0.724791046833203
"AAED1",770.015811939941,-0.00752500569689079,0.023978178468169,0.111292229533434,0.87869059522912
"AAGAB",2029.12574672475,-0.000712841274594479,0.0217021408457424,0.736131757246699,0.9999969837863
"AAK1",5310.68443971493,0.00967827953943095,0.0244855742928883,0.154399875928103,0.912482478353607
"AAMDC",334.129464132386,-0.00251535159147662,0.022299497476104,0.599670112186536,0.9999969837863
"AAMP",3060.54708398708,-0.00111933313827859,0.0218235758388411,0.849626784505979,0.9999969837863
"AANAT",3.15787098185524,-0.000874534233591227,0.0226607307974895,0.289417222711283,0.967558683724141
"AAR2",1063.21039539171,0.00864346972333354,0.0239248184933296,0.192706688404271,0.929537629741151
"AARD",6228.21775437607,0.00248684204903137,0.0227297175019066,0.277018359834514,0.96196549191145
"AARS",9532.20474857573,0.00369063010887007,0.0225149085472272,0.451353919570574,0.994513269382358
"AARS2",1945.67451167121,-0.00200288894396784,0.0220860230998521,0.691587112704201,0.9999969837863
"AARSD1",5.16014671537566,-9.69050450078251e-05,0.0226318653189684,0.914076192241735,0.9999969837863
"AASDH",2095.61910079675,-0.0219774271680371,0.0386614764277392,0.0155528228298681,0.546726822922709
"AASDHPPT",1186.40894645931,-0.0029204005077834,0.022124040059598,0.608467379162275,0.9999969837863
"AASS",1850.11587342672,-0.00712748334744532,0.0241403466593055,0.0175817235517462,0.575308168828491
"AATF",2444.94928862526,-0.00284234939455244,0.0217693272067563,0.641728278939815,0.9999969837863
"AATK",621.905470555053,0.00487104058616132,0.0232894349919749,0.0516259864120489,0.77408019506282
"AATK-AS1",2.42210623088696,0.000130349301290988,0.0226507176393011,0.668270454425107,0.9999969837863
"ABAT",2083.99801930619,0.00384919423082328,0.0225134800011233,0.544392965644542,0.99946125707123
"ABCA1",11488.4845254458,-0.00228376450355557,0.0225376280389437,0.509462916090498,0.999132321928573
"ABCA10",1316.67312597828,-0.00103777339092207,0.0226454135147593,0.40954076528172,0.988557581037656
"ABCA11P",390.042920609376,-0.00416459448501998,0.0227320533318175,0.354213988600423,0.980637985104729
"ABCA12",3070.18147382916,0.00210525036086556,0.0227532510294466,0.11057450123724,0.877423652823811
"ABCA13",349.352929850214,0.00308445950844703,0.022890939382198,0.0796908120208777,0.829022940958231
"ABCA2",13457.6233247883,-0.00163762642624377,0.0221861491537971,0.732108298212592,0.9999969837863
"ABCA3",9348.59137321377,0.00502715883332835,0.0231526952060564,0.177259742984881,0.925858709835684
"ABCA4",500.247417876863,0.00170637838887586,0.0224997067776004,0.593998938113349,0.9999969837863
"ABCA5",4075.16323994744,-0.00116096916563522,0.022432232044768,0.727335458812375,0.9999969837863
"ABCA6",4144.94582571493,-0.00129723774838232,0.0226569961368401,0.355558326189559,0.980637985104729
"ABCA7",5429.91586872993,0.0163923881685104,0.031598800732008,0.00593227559173415,0.387464668530345
"ABCA8",2559.16832941007,0.000328985215989258,0.022629404906065,0.742083069532566,0.9999969837863
"ABCA9",1976.19040123019,-0.00107079780032807,0.0226441527678216,0.41808045752748,0.988557581037656
"ABCB1",1229.36801572559,-0.00216372866307973,0.0226146003882121,0.444983235045489,0.991783565695961
"ABCB10",2104.15547862173,-0.00563834153224109,0.0227167158493007,0.357462716623774,0.980637985104729
"ABCB11",1571.30632089117,-0.000289330177677004,0.0226412539722572,0.663993621078464,0.9999969837863
"ABCB4",2668.58246048424,0.000579852080461793,0.0225530498227449,0.786745701898517,0.9999969837863
"ABCB5",64.3533604339499,0.00194984140590214,0.0227611978192612,0.00942380371004057,0.465419560020325
"ABCB6",1693.8414556325,-0.00316576189251483,0.0224689132588847,0.606218923515708,0.9999969837863
"ABCB7",2600.35633644805,-0.00540909128210482,0.0217871821523732,0.499643458434679,0.997423368771911
"ABCB8",2075.06602068548,-0.00617108435934561,0.0228548565093796,0.328419276263344,0.979347156413574
"ABCB9",1000.33565620597,0.00482398611220059,0.0231248169131574,0.170104623356377,0.92074012558952
"ABCC1",6826.28265752466,-0.00428304050598862,0.0226683362856207,0.380062617658473,0.986195356413651
"ABCC10",6299.79634476117,-0.00389625519587397,0.0219612654548006,0.489328795104075,0.997044449885059
"ABCC11",2212.17271750468,0.00345783603442573,0.022993149982156,0.0180499236809854,0.578013100987016
"ABCC12",168.607169298569,0.00117233003102638,0.0226753470454778,0.185392307270549,0.927649575403275
"ABCC13",4.93777957409756,-0.000100763740001981,0.0226486259336571,0.81147769562269,0.9999969837863
"ABCC2",2641.78547801675,-0.000216849859586642,0.0225205864343325,0.924622121722901,0.9999969837863
"ABCC3",6611.12636008755,-0.00103081383633491,0.0223450796412786,0.785158168286294,0.9999969837863
"ABCC4",1684.85507201785,-0.00304104097593649,0.022788712458129,0.250080149199328,0.953552552105325
"ABCC5",8962.11219610043,-0.00971670425400898,0.0252952796602704,0.0384114818301958,0.712991537432451
"ABCC6",1848.1896553945,0.000245399246590623,0.0225100971839759,0.920579917580342,0.9999969837863
"ABCC6P1",251.859797767855,0.00153307748638713,0.0225884246938116,0.533759548332961,0.99946125707123
"ABCC6P2",34.086986333904,7.67592362818166e-05,0.0225781413941621,0.965161369568849,0.9999969837863
"ABCC8",524.148625295211,0.00287829402747465,0.0228826980240787,0.0276830262281657,0.661563898400403
"ABCC9",3239.78872399217,-0.000642524421947727,0.0224400724127544,0.834719330115585,0.9999969837863
"ABCD1",4049.60535165996,-0.000775835901296043,0.0221026604354138,0.837630590851418,0.9999969837863
"ABCD2",282.586392011536,0.00178630077255537,0.0226881075901726,0.284557067623612,0.964515770843936
"ABCD3",5703.95130116349,-0.00132915549897551,0.0220329233837802,0.800784250820646,0.9999969837863
"ABCD4",1982.5306541835,-0.00572029095736108,0.0226481519884244,0.371899021000813,0.984283536337883
