pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_ADIPOGENESIS,0.191304347826087,0.609318996415771,0.117249716749792,0.654549326115232,1.31250155849491,192,EPHX2|ECH1|RREB1|IDH1|HADH|ECHS1|APLP2|PREB|AK2|AGPAT3|BAZ2A|SCP2|DHRS7|SDHB|CRAT|PEX14|NDUFB7|BCL6|ACADS|NMT1|CPT2|MDH2|GHITM|SUCLG1|SULT1A1|LPCAT3|GPAM|SOD1|HSPB8|JAGN1|ACAA2|RETSAT|DHRS7B|ETFB|IMMT|REEP6|UQCRC1|YWHAG|DHCR7|GRPEL1|G3BP2|RTN3|POR|CHCHD10|ESRRA|UQCR11|TALDO1|RAB34|TKT|ELOVL6|COQ5|UBC|SDHC|RNF11|ACOX1
HALLMARK_ALLOGRAFT_REJECTION,0.30635838150289,0.641025641025641,0.0880945010398517,0.590372957423164,1.1834620372181,191,HLA-DOB|APBB1
HALLMARK_ANDROGEN_RESPONSE,0.831932773109244,0.848910992968616,0.0461379160269737,0.31396384030707,0.595777450909396,95,ABHD2|PTK2B|HOMER2|ADRM1|FADS1|DHCR24|XRCC5|INSIG1|GPD1L|SRP19|CCND1|ZMIZ1|AZGP1|HMGCS1|TMPRSS2|B2M|NCOA4|ELOVL5|SCD|KRT8|IQGAP2|XRCC6|MYL12A|GSR|GNAI3|RPS6KA3|MAP7|KRT19|PDLIM5|CAMKK2
HALLMARK_ANGIOGENESIS,0.471698113207547,0.709792587555254,0.0847985102819124,-0.378362746554369,-0.909105723564118,35,VAV2|ITGAV|PTK2|FGFR1|S100A4|TIMP1|PDGFA|NRP1|VCAN|FSTL1|COL5A2|LUM|COL3A1|THBD
HALLMARK_APICAL_JUNCTION,0.102601156069364,0.427504816955684,0.165656695205483,0.70189792472028,1.40702506350272,191,ACTC1|NLGN2|SRC|SHC1|ACTG1|GAMT|EVL|HADH|MAP4K2|MAPK13|RRAS|PCDH1|AKT2|IRS1|CRAT|JUP|ATP1A3|ACTB
HALLMARK_APICAL_SURFACE,0.273244781783681,0.641025641025641,0.11146266692298,0.731746530318801,1.42232756302895,42,HSPB1|FLOT2|GSTM3|ATP8B1
HALLMARK_APOPTOSIS,0.584474885844749,0.724738675958188,0.0578529757032509,0.471682393593303,0.923751706159263,158,HSPB1|TXNIP|PAK1|ETF1|DFFA|FDXR|CASP7|LGALS3|BCL2L1|IGF2R|SQSTM1|GNA15|KRT18|SOD1|RETSAT|GPX1|GADD45B|JUN|EBP|APP|CCND1|CFLAR|DAP|MCL1|TAP1|CASP4|CDKN1A|IRF1|ISG20|IFITM3|CDK2|BTG3|RARA|CCND2
HALLMARK_BILE_ACID_METABOLISM,0.0772946859903382,0.427504816955684,0.204294756516886,0.762667028706412,1.46495266025818,112,PFKM|SLC29A1|IDH2|EPHX2|IDH1|PEX11A|SCP2|FDXR|SLC22A18|FADS1|PRDX5|LONP2|DHCR24|SOD1|RETSAT|OPTN
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.0395365283949576,0.427504816955684,0.321775918075361,0.832502519091892,1.55252190228398,73,ANXA13|ECH1|ACTG1|TM7SF2|PLSCR1|FDFT1|LGALS3|ALDOC|ETHE1|FASN|CHKA|DHCR7|PMVK|ACSS2|TRIB3|NFIL3|EBP|CBS
HALLMARK_COAGULATION,0.408450704225352,0.703774792066539,0.0768736734126542,0.563705693625969,1.09110810306292,137,F8|LTA4H
