"","R-2_Baseline","R-2_Week_8","R-6_Baseline","R-6_Week_8","R-4_Week_8","R-10_Baseline","R-10_Week_8","R-4_Baseline"
"NRAP",-0.634835816164945,-0.68449865785588,1.70741526545602,-0.445058542722383,-0.246322995151156,-0.499675272514931,-0.689925166029122,1.4929011849824
"CHRND",0.49904407409872,-0.897971630894779,2.11919217169613,0.226792452300239,-0.724162034313146,-0.259002818669145,-0.897971630894779,-0.0659205833232391
"TCL1A",0.288685394562743,2.32141755883046,-0.670095682113557,-0.670095682113557,-0.203447943614196,-0.572374007163172,0.0161656089110808,-0.510255247299803
"CLEC4G",-0.307705075551486,2.31284547577707,-0.731939500488827,-0.520250718363764,0.140068787459014,-0.731939500488827,0.220574159701345,-0.381653628044522
"ITGB6",0.671209934801593,-1.27343742029013,0.620189086310231,-0.0588266828354275,-0.219974971148204,0.463297436634916,-1.56003150223749,1.35757411876451
"FAM83A",2.2877938161702,-0.351752036286294,-0.149783601846481,-0.694450008883265,-0.40169623609165,-0.108646844016064,-0.921350967084371,0.339885878037927
"RTP5",0.0554941295364438,1.19137707906591,-1.02417475150437,-0.326810499255461,0.167286824578357,-0.836693749527312,1.68956387961275,-0.916042912506318
"DTHD1",-0.31944661364578,1.35862008663373,-1.08408070168957,0.143598831672942,0.298872873148481,-0.974865480149165,1.43972126562457,-0.862420261595199
"IFNG",0.214877990749447,0.521216111847865,-0.99498506309938,-0.286020661500303,1.30148163882209,-1.01797343895655,1.32361157063058,-1.06220814849375
"TTC24",0.138214488791761,1.54321073670457,-1.06749134822651,-0.456056089986655,0.170612164311494,-0.876246105962892,1.34740923423198,-0.799653079863749
"GPR115",2.14195550220613,-0.134140645523225,-0.563214185804876,-0.776094746465882,-0.281848183258728,-0.560255922903574,-0.64330582531692,0.81690400706708
"SH2D1A",0.055079857921652,1.50622906848653,-1.13907351435162,-0.355013819857909,0.529243943206673,-0.982084861377803,1.18924730791439,-0.803627981941921
"LMOD2",-0.766614882264485,-0.766614882264485,1.92088810969796,0.274041978962847,-0.464108578531108,-0.455320944120588,-0.766614882264485,1.02434408078434
"CYP24A1",0.691520830895374,-0.608084276988737,-0.47782977022553,-0.836275666227918,0.0834528172094108,-0.0863591190440556,-0.874701267200284,2.10827645158174
"MYPN",1.30350412447391,-0.773529100651469,1.49335553898846,0.520260128872818,-0.83482391257046,-0.829384640359422,-0.903524035410682,0.0241418966568489
"PDCD1",0.139941050226366,1.07024111932947,-1.4373622295836,-0.169011945381806,0.981618809418078,-0.816244146489616,1.13618213184915,-0.905364789368042
"TIGIT",0.0953317085169715,1.529061530028,-0.992153401143753,-0.442629097479622,0.494812807191378,-0.857077389157938,1.19949082935991,-1.02683698731494
"GZMK",0.20472436990055,1.30991348390666,-1.00253548310123,-0.235238996510897,0.62881333737125,-1.26148851266193,1.21031553750361,-0.854503736407998
"ZNF831",-0.0352733518337194,1.38697130471607,-1.17390484302215,-0.271527856975706,0.57209947694065,-1.04132523648365,1.29468509621095,-0.731724589552448
"GZMH",0.116384645643991,0.630140012021399,-0.986750183471794,0.103327044550008,1.07728170033412,-1.36430736769233,1.32849677584758,-0.90457262723298
"CXCL13",0.644044026915849,1.02818043744463,-1.04132928446512,-0.321347148021422,0.714292320109807,-0.892592187225441,1.16418774054012,-1.29543590529844
"CXCL9",0.432238600547308,0.958923860159293,-0.916591110679119,0.023133022311721,1.42050162138374,-1.49976300578807,0.381667338536885,-0.800110326471758
"FCRL3",0.398856675363433,1.86135361996838,-0.848675619087969,-0.742539849276496,0.120854535730738,-0.686823505414539,0.846546314871604,-0.949572172155147
"KLRC4-KLRK1",0.289535594471878,0.706500579161666,-1.05352805616141,0.0446544569709395,0.295608239087728,-1.11107555833203,1.76326192745201,-0.934957182650781
