"","R-18_Baseline","R-5_Baseline","R-5_C1D1","R-12_Baseline","R-12_C1D1","R-20_Baseline","R-20_C1D1","R-2_Baseline","R-2_C1D1","R-18_C1D1","R-14_Baseline","R-14_C1D1","R-6_Baseline","R-6_C1D1","R-8_Baseline","R-8_C1D1","R-17_Baseline","R-17_C1D1","R-24_Baseline","R-24_C1D1","R-9_Baseline","R-9_C1D1","R-10_Baseline","R-10_C1D1"
"JPH4",-0.375086746543708,-1.49917402374029,-0.693979753501439,-0.393046451546728,-0.560960505904918,-0.0396289307971368,0.993188241152647,-0.329745690104778,0.686430390632487,-0.160756929411931,0.249567563976492,2.5728923468551,-1.33968983765646,-0.655085176679578,-1.06276385841934,-0.670293569510207,-0.414173600514965,0.644443588408886,-0.773454583198053,1.62373623882466,0.538136165361693,1.71900737588697,-0.537022548385405,0.477460294815981
"LCN2",-1.30888430359296,1.23105522212742,2.26717361257512,-0.81305626422874,-0.601929635271544,-0.704424225281323,-0.674422677903117,-0.549553860944911,0.389982928390171,-1.35433466942398,0.351722469786156,0.499233310229018,0.761718975003457,0.958245064413065,1.79464279019232,1.53339547485919,-0.662166385071465,0.212051105220146,-0.610979039088122,-0.34378086932667,-0.853562042444416,-0.302622350745847,-1.04929735606184,-0.170207273411131
"FSD1",-1.08821902047054,2.78956879460296,2.01032156465042,-0.779374603510081,0.254747639436162,-0.931662643021628,-0.58761057013705,0.589058081728777,0.586802141740532,-0.675197165825924,0.409720079626156,1.02342412545575,-0.756151403312324,-0.155243309163727,-0.531742421580522,-0.225062501415135,-0.450195711927186,1.26115284815576,-0.690239924930347,0.0254649971219728,-0.971750255207643,0.244661453009436,-1.23584572453656,-0.116626470489247
"SYT5",2.44406137478177,-0.712409523226764,-0.635438060288272,-0.467574074048771,-0.163209959290601,-0.45313366606814,0.192142423665389,-0.789278194218524,-0.665721928573423,2.38737762874862,-1.05474329432098,-0.74318157372663,-0.826238589964896,-0.608725344284447,-0.677208434488208,-0.273871783258165,-0.657899593954038,-0.416799273575952,-0.0153385028021206,-0.00714830715103242,0.590505980350679,1.10980409507824,0.754815548163519,1.68921305245276
"TRIM7",1.84185419324014,-0.662668079956216,-0.755546464615282,-0.980786039251786,-0.290373308079756,-0.0346644260250849,1.21888552734421,-0.798421568194528,-0.595013617207898,2.51808219534458,-0.704696003009966,0.149588692978405,0.0531187917701404,0.808320270857624,-1.02139671429336,0.671613879677099,-1.30592474333964,-0.932812042428503,-0.814307358778469,-0.331522310409054,-0.428322602759314,0.167810691261401,1.21926336510591,1.00791767076935
"B3GNT3",-1.35187232202273,-0.218993420364046,0.363093108956879,-0.709197817523258,-0.668664547851264,-0.537705725339623,-0.14232469126157,1.32191047074791,1.35123936098672,-0.975543951613774,2.03046115624587,1.96776802007064,0.725750143621922,0.95438823854819,0.0664305589895294,0.319229461488088,-0.877459168390875,-0.445179163052187,-0.515367103028677,-0.0795789299395267,-0.426535748195221,0.623498626983231,-1.44858713246581,-1.32675942559042
"SLC8A2",0.776800519541476,-0.389594413655203,-0.349003226434571,-0.11974264955279,0.240541579178546,-0.46179767256906,-0.263767061160535,-0.658547923838179,-0.570561237909754,1.62837187812817,-0.475286092282458,-0.347728861036204,-0.760703910143922,-0.485584836821973,-0.370746983500407,-0.286996971857109,-1.03001876485434,-0.615653217991633,-0.670775290217461,-0.426556622067633,-0.164008488784469,0.512717160533294,2.08327755121293,3.20536553608328
"CA11",-1.17769781435604,0.994940801291382,1.92666989640346,-0.482692882810365,-0.0140595557777335,1.31493746526677,0.999790310128052,-0.820700232799062,-0.602583487143769,-0.553357524799916,-0.633600822630627,-0.293009326833419,-0.39961972121246,0.162147226577329,-0.96136865054332,0.250717941223983,0.283805627752472,0.313366654841158,-1.68278899808712,-0.572648178140541,-0.78066606066228,-0.427124462316409,0.619401172265911,2.53614062236255
"LPAR4",0.129195736001223,-0.534120192682883,-0.569671245079453,-0.709053120611212,-1.04809412532658,1.86535445076303,0.867026090795322,-0.498272095609323,-0.751815564097703,-0.499635642256436,-0.746427910958083,-0.821116765308638,-0.437437887369203,-0.590765128332618,-0.125811282387469,-0.293983702840502,-0.524376269889829,-0.733987943479749,2.77510285508287,2.04134978636899,0.837796056315381,0.352101662835564,0.227175729128811,-0.210533491061514
"ZNF648",-1.00457381914861,0.697096529505249,1.10775624105063,-0.536723725069926,0.178426768109336,-0.202580409005547,0.0092175882757835,-0.353546537611219,-0.222406107113027,-1.04257509148078,-1.41664514797324,-0.972058420876817,-1.29074115219202,-1.37484354671285,-0.0329130594629651,0.894326758325683,1.00713672453913,1.46072639772712,0.120905991615977,0.41911391306466,-0.702492713069396,-0.432229532963155,1.33435968014993,2.35526267031606
