"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"A1BG",247.440241833702,0.0222899251788423,0.182150325114774,0.814685627458515,0.953795649915547
"A1BG-AS1",407.176235039289,0.0378715102437584,0.196639491888721,0.625754501402932,0.885381705436591
"A1CF",25.687606122596,-0.000561267922586988,0.210511465810595,0.977599685692999,0.994171260159442
"A2M",57629.4432343294,0.0311960402319809,0.199485043422711,0.651212662299439,0.896080993014487
"A2M-AS1",72.1393856274462,1.29777487073301,0.56359228612108,0.000615530994103543,0.0251211780832963
"A2ML1",312.183194493474,0.00381359309596089,0.208588260890689,0.870853278032565,0.969214070928853
"A3GALT2",20.6028500997497,-0.0387148436273969,0.206913179151039,0.493809525108595,0.822542162534047
"A4GALT",1698.24662815335,0.0399792988326125,0.177898035899846,0.675399754045434,0.904846280686411
"AAAS",1547.36509546167,-0.0128995827809354,0.149758118754436,0.91413665817638,0.977485961766717
"AACS",1420.90634025142,-0.20332353358265,0.231036490280693,0.109095775192716,0.467108466858624
"AADAC",21.1283381935443,0.00371264885599687,0.207355698778859,0.909822682543003,0.976493751979656
"AADAT",429.708344960162,-0.146973341131532,0.247108115218247,0.127042288115971,0.498478271537862
"AAED1",984.156841055123,0.0325440133408217,0.193894479473394,0.695049428567918,0.912389046745171
"AAGAB",1984.44401842657,0.00934995846820355,0.157050168830805,0.931485333330032,0.981797209517055
"AAK1",6706.6272263295,0.100571195263571,0.182077381172614,0.352271734750419,0.728828083327926
"AAMDC",335.013439162383,-0.147994308749551,0.249774684520378,0.118686338835675,0.484021605060568
"AAMP",2756.24632962561,-0.040623524676872,0.165097894249622,0.710911552725536,0.919695746177522
"AAR2",1062.69997337314,-0.0348436743681014,0.148824311417107,0.741761178590733,0.929991452564942
"AARD",1904.39121696585,-2.34900458834962,1.03325862247332,5.41574453021685e-05,0.0056368253993727
"AARS",8426.13318235952,-0.0168619804875641,0.168000852444175,0.859072944716568,0.966092424133158
"AARS2",2184.12820572688,-0.165949459438854,0.171923933146098,0.159041896078235,0.544418666118565
"AASDH",1989.08132056429,-0.0147030982727896,0.150636006341813,0.885579345846912,0.971828726055319
"AASDHPPT",1289.33018168393,0.0657302748777601,0.185482307243374,0.510694055876678,0.832451420914301
"AASS",1207.86481215954,-0.0338916511846782,0.191721751335113,0.679551272183245,0.905755781829032
"AATF",2656.80224327942,0.100621767924604,0.170361159456364,0.354430186625115,0.729504347657659
"AATK",783.12741235372,-0.0470414307690067,0.214118234458133,0.194138121728954,0.590601117126787
"ABAT",676.319692728319,-0.0173132507436869,0.196618990193891,0.802453961489527,0.949079222752171
"ABCA1",16003.4676299877,0.0448647553839461,0.207198968416219,0.439362047376893,0.790434160144887
"ABCA10",1118.7223357936,0.0411261799254478,0.202587962113623,0.539806038860634,0.846569347973208
