"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"A1BG",4831.87001883249,-0.0274867589604331,0.206494434186847,0.448685854442284,0.768769977957409
"A1BG-AS1",409.465815925771,0.38997059903825,0.278732139500086,0.0177094590009796,0.208793130826339
"A1CF",2749.68951718407,-0.0011403175656185,0.208246784152319,0.962493165466668,0.991208192492405
"A2M",76324.8543224518,-0.0237931017353964,0.198339645273052,0.684839162184108,0.888387651987131
"A2M-AS1",79.7797520742369,0.113357053771694,0.242665400916638,0.0620812334690615,0.352555579085716
"A2ML1",359.413301427972,-0.0336481313501513,0.210476713663636,0.0688722901776618,0.370037073531338
"A3GALT2",15.2846506726595,0.0382736067569061,0.206267083821846,0.43611724901872,0.759951315969257
"A4GALT",1239.95449937557,0.587455098568191,0.301190926987783,0.00328574080832253,0.0940124902997609
"AAAS",1564.95677941666,-0.0150350736444257,0.146879727191041,0.882693292773534,0.965554658407628
"AACS",1258.97614048722,-0.195292945989643,0.248745297854762,0.101983566563828,0.433501376389094
"AADAC",1470.9939658702,0.00924992796504494,0.207551850558433,0.521483802513464,0.809095491851548
"AADAT",767.884244652586,-0.0693647283498047,0.214236640764239,0.223445664897278,0.593893217003815
"AAED1",828.186158852085,0.110420187660093,0.215386645514158,0.229183530030887,0.598086492119598
"AAGAB",1902.61089163173,-0.0127342878969824,0.165842167706878,0.893722381875495,0.968022629790673
"AAK1",6529.5643779173,0.212125558276909,0.182842683022344,0.0892113931162363,0.411244433722875
"AAMDC",415.815254132449,-0.161404062192075,0.261462290773191,0.0899119766782536,0.4118822880949
"AAMP",2871.39863004924,-0.255446946163223,0.228580132549026,0.0580088511065728,0.343509859473141
"AAR2",985.420466105534,0.0100108579043202,0.150868247191649,0.924647281188804,0.979566055314103
"AARD",1152.97147999479,-0.0422484202498281,0.212094709738089,0.0761923294826024,0.387741473341548
"AARS",8234.08541893258,-0.191883030243687,0.204816775594483,0.119109513778143,0.462518210104935
"AARS2",2020.30071927768,-0.0506322423120969,0.147739148769886,0.628772023726393,0.861974575899078
"AASDH",2215.44789732562,0.00152827976762054,0.172585710490356,0.992968544891959,0.998704142393559
"AASDHPPT",1185.50005337698,0.00851953293113156,0.169655130798267,0.930889968468257,0.981217177576248
"AASS",2590.44542684249,0.0105662156223414,0.19537944080902,0.87425587357457,0.962379568186405
"AATF",2475.87367868323,0.0149418830868446,0.141840657763555,0.886624894212922,0.96603591761273
"AATK",615.727626148723,-0.0350566626622784,0.206834110877124,0.382818487168278,0.724571939360513
"ABAT",2119.00258752863,-0.0118398466779244,0.198470778834766,0.843441678675171,0.951962051864222
"ABCA1",18125.9158909302,0.0320280644856728,0.20096269599487,0.57904419143095,0.839269107122197
"ABCA10",1354.87627017844,0.110256789633478,0.237853502378957,0.0826623344584658,0.40139136260627
"ABCA11P",400.699284878166,0.156013330058234,0.226574712205464,0.157818798561396,0.517398663527488
"ABCA12",655.264879220363,-0.0423958644158024,0.212590337210313,0.0431558987382348,0.302525025623599
"ABCA13",603.374232454813,0.0310602902276303,0.209569647623609,0.170194994602497,0.532583515890192
"ABCA2",11272.4323022629,0.0803836721080283,0.193256871680325,0.399033490585816,0.736837672499331
"ABCA3",7074.79773998189,-0.013536875535701,0.199292234074071,0.796059718641908,0.934862839410677
"ABCA4",186.700874655151,0.0230516730321989,0.200140355463931,0.675259590828384,0.883396506930713
"ABCA5",3372.18958800212,0.00379896670060626,0.194332361554527,0.959912615984323,0.991208192492405
"ABCA6",6154.98089982748,0.0903366076079894,0.224514056739318,0.139235660622936,0.490483071201055
"ABCA7",5007.66703590389,0.197846903970624,0.254262304708752,0.0961490564441764,0.422386268717075
"ABCA8",3868.83806778533,0.0160623663858874,0.206324788552275,0.551625280139838,0.825993634919723
"ABCA9",2365.26160577108,0.0822573052536999,0.210515584550124,0.290564866690744,0.652966311819566
"ABCB1",1569.21946513946,0.0294568918744866,0.20774237955631,0.364814444949832,0.712579995362727
