pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_ADIPOGENESIS,3.07485064741926e-05,0.000139765938519057,0.557332238758646,-0.549672120873566,-1.81921801644128,187,SLC25A10|DHCR7|SLC19A1|SLC5A6|MDH2|MRPL15|COX7B|NDUFB7|SOWAHC|DDT|SDHC|NDUFA5|UQCRC1|CYC1|ECH1|GRPEL1|HADH|AIFM1|ATL2|COX8A|PIM3|MTCH2|MGST3|ACO2|UQCRQ|NDUFAB1|SOD1|TOB1|GBE1|RETSAT|YWHAG|ESRRA|FAH|POR|ADCY6|COQ9|SLC25A1|COX6A1|ELOVL6|SAMM50|MCCC1|RTN3|CS|DHRS7B|COQ3|PEMT|BCKDHA|CD151|DGAT1|DLAT|AK2|CDKN2C|SUCLG1|ETFB|UBQLN1|UQCR10|ABCB8|PEX14|DLD|PTCD3|UCK1|CHCHD10|PREB|GHITM|LIPE|UQCR11|TALDO1|REEP6|IMMT|ANGPTL4|SDHB|TST|IDH3G|ORM1|NKIRAS1|ADIPOR2
HALLMARK_ALLOGRAFT_REJECTION,4.44031371120074e-12,5.55039213900093e-11,0.887074988399873,0.658172776164502,2.26907640918674,189,CXCL13|IFNG|IL2|SIT1|LCK|ITK|CRTAM|CD2|CD3G|ZAP70|IL7|PTPN6|TGFB1|IL16|JAK2|SOCS1|CCND3|DYRK3|RPS3A|GBP2|LCP2|CD8B|HCLS1|IFNGR2|MAP4K1|ITGAL|CD96|CCR5|FASLG|CSF1|CXCL9|F2R|CXCR3|CD8A|IL18RAP|STAT4|APBB1|NCF4|ELF4|ICOSLG|IL12RB1|TRAT1|HLA-DOB|BCL10|ETS1|HLA-DMA|ST8SIA4|CD3E|RPL9|CD3D|TLR6|SOCS5|STAT1|CCL4|FGR|IL2RG|ACVR2A|PF4|NLRP3|HLA-DOA|HLA-DMB|CD7|PRKCB|GPR65|CD86|CD47|PTPRC|IL12A|PSMB10|IL10|WAS|CD40|UBE2D1|CD247|LY75|IL4R|KLRD1|LY86|IL2RB|CD80|IL15|GZMB|IL18|FAS|TLR3|FLNA|IRF8|GZMA|HLA-E|CCR2|ABI1|SRGN|MAP3K7|CD4|CD40LG|HLA-DRA|HLA-DQA1|CD74|CSK|NCR1
HALLMARK_ANDROGEN_RESPONSE,0.401818181818182,0.542997542997543,0.0857844408075645,-0.343487247140552,-1.03754913730692,94,SORD|MAP7|UAP1|CENPN|HOMER2|LMAN1|HMGCS1|XRCC6|RAB4A|HMGCR|IDI1|ACSL3|PDLIM5|DHCR24|B4GALT1|ADRM1
HALLMARK_ANGIOGENESIS,0.807251908396947,0.903703703703704,0.053347785067549,-0.292510290821322,-0.752471636315978,35,VAV2|APP|LRPAP1|VEGFA|PTK2|TNFRSF21|SPP1
HALLMARK_APICAL_JUNCTION,0.279735682819383,0.411376004146152,0.119887845115423,0.315105641454871,1.08616154324381,188,LAYN|TRAF1|CNN2|AMIGO2|RHOF|TRO|SLIT2|RAC2|CNTN1|VWF|VCAM1|JAM3|EPB41L2|AKT3|LIMA1|ACTB|ZYX|ARPC2|CLDN5|SKAP2|MYL9|STX4|PECAM1|PARD6G|SORBS3|ARHGEF6|CD274|RRAS|ALOX15B|ADAMTS5|CDH11|CD86|CD34|PTPRC|SYK|MAP4K2|ITGA9|CAP1|CD99|TSC1|MMP2
HALLMARK_APICAL_SURFACE,0.516666666666667,0.679824561403509,0.0795564677235957,0.357063592293293,0.978392937584849,41,MDGA1|GHRL|GAS1
HALLMARK_APOPTOSIS,0.125786163522013,0.208019294543262,0.181383128498408,0.350569545582001,1.19349639339044,158,CD2|RNASEL|LEF1|EGR3|CYLD|CASP8|ROCK1|BIRC3|MADD|FEZ1|BNIP3L|PDGFRB|DCN|CASP9|IRF1|BMF|TXNIP|GUCY2D|FASLG|GSTM1|F2R|GSN|BCL10|CASP4|PPT1|CASP7|TIMP2|CD69|LGALS3|LUM|DDIT3|CD44|CASP3|MMP2|CAV1|CFLAR|NEDD9|PPP2R5B|IL18|GPX3|PDCD4|HGF|FAS|CASP1|ISG20|PLCB2
HALLMARK_BILE_ACID_METABOLISM,0.942379182156134,0.972920696324952,0.0450442767152795,-0.230639162822641,-0.704848581483532,110,NUDT12|ISOC1|SOD1|RETSAT|PXMP2|IDH2|IDI1|FDXR|PEX1|PEX13|DHCR24|PRDX5|PEX19|SLC35B2|PEX11G|LIPE|FADS2|SLC27A5|ALDH9A1|FADS1|SLC23A1|PHYH|GNPAT|SULT2B1|RBP1|BBOX1|GCLM|IDH1|TFCP2L1|PEX6
HALLMARK_CHOLESTEROL_HOMEOSTASIS,1.8518622667049e-05,9.25931133352449e-05,0.575610261071129,-0.71069563474013,-2.05927541844506,73,CBS|DHCR7|TMEM97|FASN|CYP51A1|EBP|ERRFI1|LDLR|FDPS|MVK|PMVK|ECH1|NSDHL|SREBF2|GUSB|HMGCS1|HSD17B7|TRIB3|HMGCR|IDI1|FDFT1|PCYT2|TM7SF2
HALLMARK_COAGULATION,0.0131398101767279,0.029863204947109,0.380730400722792,-0.475469406396873,-1.50252103382189,135,MMP3|CTSV|CFB|TFPI2|DUSP14|GNB2
