"","R-10_Baseline","R-10_C1D1","R-10_Week_8","R-12_Baseline","R-12_C1D1","R-13_C1D1","R-13_Week_8","R-14_Baseline","R-14_C1D1","R-15_Baseline","R-16_C1D1","R-16_Week_8","R-17_Baseline","R-17_C1D1","R-18_Baseline","R-18_C1D1","R-19_C1D1","R-2_Baseline","R-2_C1D1","R-2_Week_8","R-20_Baseline","R-20_C1D1","R-23_Week_8","R-24_Baseline","R-24_C1D1","R-4_Baseline","R-4_Week_8","R-5_Baseline","R-5_C1D1","R-6_Baseline","R-6_C1D1","R-6_Week_8","R-7_C1D1","R-8_Baseline","R-8_C1D1","R-9_Baseline","R-9_C1D1"
"ACTR3B",0.35311977948215,0.0801560068249602,-1.36142172728157,-1.43064053374044,-1.77686070239644,-0.152310276183096,-0.600571079372099,-0.962635283377213,-0.944823494992873,1.27308181426714,0.417390979097065,-0.472781373122887,1.43110660857259,1.54332465974022,0.151282868971936,0.21519297904596,-0.970726770458362,0.057215096709828,0.350225787724686,-0.390104706836305,-0.921238050220729,-0.944945110817773,-0.466402629090669,-0.276065460340199,-0.333079242836307,0.286493867951561,-0.632996897329295,0.38780192410664,-0.00167628671103019,1.95726809473595,1.98628049029561,1.58090274401239,-1.12698531891297,1.45106030782745,1.33582827836728,-0.373209948373563,-0.718257395339624
"ANLN",0.1249656693066,0.744613320639043,-1.70298739163497,-0.222568468337334,-0.107674277303147,-0.373165366880602,-1.29072346553927,0.357756257039009,0.328038835707681,-0.835662782498577,-0.108951488724402,-2.47336866256568,0.638031845513224,0.37195910181195,0.649564890804935,0.746883003870785,0.535316906185042,1.59550782871408,1.27341637014769,-0.394399114343566,-0.0734030316208281,0.0601945978452831,0.496115132047417,0.24118353821209,-0.630558905104555,-1.24977132924457,-0.983290196851261,0.612963814553765,0.584492820773904,1.73502653422499,1.6577230275868,1.47056665519598,-1.83776725201162,-0.0150088089081227,0.132482225717615,-1.22329745203392,-0.83420438229546
"BAG1",1.66294706551932,2.13036802464149,-0.681717901339335,-0.646000812632293,-0.23558225271442,0.0469164758313768,-0.78139743073602,-0.835692181027359,-0.718449612465896,1.08221354818317,-0.826080699635996,-0.169901251842617,-0.486216436266104,-0.849368447386087,-0.433771591263642,0.362107731532093,1.2397360701259,2.7455066431398,2.39755684791774,-0.234280676174787,-1.18211230242834,-0.605406611620487,0.934456131379424,0.40931208838939,-0.0588743193164062,-1.16731232961025,-0.237550769361323,-0.490587961274848,-0.460279925020798,-0.658147560843211,-0.676219769514216,-0.235473407122553,-0.511764560280115,0.837761014069332,0.655711250014945,-0.65424562640857,-0.66815845445829
"BCL2",-0.783678357154663,-0.503864047581386,-0.023721765790748,1.20883068296038,1.14469700804831,0.793757827808369,1.34681297215334,-0.162233398758473,-0.509036935417082,-0.13639955951778,0.30653504928745,-0.0151119404220675,-1.28433686217045,-0.601082105728315,0.505700966272926,1.02147209209789,1.80908998505124,-0.417174008768425,-0.191047883255946,1.12491431789405,0.237124111759504,0.329639702360226,1.2341899529118,1.38595134894214,1.32415896970186,1.1218275264576,0.0653197322676185,-2.03177674285317,-2.29924940352634,-1.0074705171902,-1.05942415878878,-0.894470978830592,-0.0225846438846498,-0.623490048018522,-0.91115214458961,-0.455918999653292,-1.02679774407423
"BIRC5",0.301107316680607,1.31107913515463,-1.21856452451328,1.11539566155777,1.58370238078354,-1.07163421817109,-2.13802149013527,0.49493070611747,0.346486076665043,-1.48532637727253,-0.425746453679358,-2.17894276627999,0.72951706360801,0.289728306331191,0.55734519507228,0.696090608415532,1.20344639738585,0.103793187293131,-0.111781983971935,-0.297272838793593,-0.0564143484048413,0.0909702706377002,2.05545030619052,0.519025933688173,-0.37398369623447,-0.742023625498811,0.0921430290589197,0.364855295487272,0.321752793015802,0.808148467188396,0.592242173263953,0.455368734413621,-1.41526756884779,0.109400642151436,0.218036233854505,-1.41482829643298,-1.43020772577943
"BLVRA",-0.29091763559543,-1.25909537531752,1.03587329226184,0.574729636613293,0.622722337543869,0.310457481643268,1.4901700374091,-0.930157001426973,-0.138205297647186,0.787396475830582,-0.419883414530234,0.433589648159742,-1.67695447149838,-1.34881125304407,0.103719583789862,0.463944868761435,2.64068319828728,-0.149139896096872,-0.258656148117187,0.173794550007195,0.288088243396255,0.716591771568168,1.07665900697244,0.809748119012009,0.452734722023106,1.01587353106815,0.887295864964804,-1.16070715435982,-1.44733572318936,-1.86032777504799,-1.65161597530903,-1.39888232106019,0.413629353877089,-0.24869647637136,-0.297299818315266,-0.00344988171640758,0.242433895453825
"CCNB1",0.720092834374254,1.55954160156169,-1.51778502580185,0.45547011777878,0.361649302612413,-0.233744725693727,-0.880806862774158,0.125175680760775,0.309077153791572,-1.97066424309889,0.176332017724764,-2.5677762412963,0.51103578027787,-0.075238472282604,1.14290899611838,1.08559418410709,0.930828549940622,-0.204061487026889,-0.237059950226901,-0.0209704957017251,0.232217444778187,0.211358615018165,1.03895349348276,0.448888053712086,-0.677492933273069,-0.671684126845641,0.0796890349296644,0.487210550894011,0.112104582616274,1.47608690553127,1.26651377876649,0.793878683621353,-1.94199202200522,0.171289742630668,0.253961311930317,-1.6543266778554,-1.29625515307709
"CCNE1",-0.735356225328286,-0.0295077131445091,-1.19672760924502,-0.569690829813727,-0.664845296980833,-0.963571109145566,-1.43807250630394,1.60824409009525,1.43074191534513,-1.73701057650186,0.44145533992618,-1.08117329891679,0.244384548260152,0.039465316450096,0.259683932655167,0.257959974719513,-0.812070661857147,2.47651977992862,2.35088445626775,0.335382039336043,-0.431886110815828,-0.332826197081155,-0.334645198238572,1.53936016592787,0.673996331719596,-1.23900675334678,-0.0990651751088207,0.1561832522122,0.195714672907301,0.763947497992538,0.512952644094388,0.211285917332211,-1.07600159746201,0.402033541809518,0.465224585131176,-0.679799338515982,-0.944163804303882
"CDC20",-0.190430618947899,0.602117317160394,-1.02106169559454,-0.146815162396595,-0.117507274280124,-0.575102943654857,-1.25519877004405,-0.173837781318318,-0.0734074623163409,-1.44400720940563,1.33263808301901,-2.143946393705,0.724425474499116,0.518489466177918,0.595434582392784,0.49843210056699,0.56083173303351,0.784392895085257,0.529730303252137,0.169124710039364,-0.662566261239469,-0.917988730301046,0.689112585845605,0.468989294651325,-0.385926946342225,-1.31199306496029,-0.625105975353366,1.34906534759668,1.05894367812328,1.55123870176303,1.41137887499084,1.11187368122307,-1.79311787144568,0.872597421174156,0.830298625586626,-1.53158025992442,-1.28952045495121
"CDC6",0.330766501997455,1.23106803798885,-1.77437857459056,0.78219506787701,1.12172722242246,-0.867785778429802,-1.69411207427764,0.616955959835571,0.466921138725711,-1.40398773909107,0.709876509829545,-2.3749355409464,0.513618565235486,0.26897212202396,0.269400899909801,0.612391685696527,0.619292302997579,0.695739961662235,0.565813336256624,-0.168964894305581,0.0313182203974474,0.403836063352107,1.42827204761009,0.030587325748028,-0.48364642047431,-1.01348453867449,0.0830319711786872,0.272193521789761,0.212350084574551,0.719910385346043,0.464359191494959,-0.190020694576342,-1.47133893638152,1.30202903879835,1.03662192766254,-1.92100823240702,-1.42558566625662
