,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils,P.value,Correlation,RMSE
R-2_Baseline,0.028780995,0.076647527,0.026495248,0,0,0.1797048,0.010112269,0.050952125,0.011594029,0,0.052286511,0.04034773,0.005934509,0.229649093,0.097738719,0.129488597,0,0,0.060267849,0,0,0,0,0.735596334,0.740924211
R-2_C1D1,0.029021391,0.092053684,0.007860506,0,0,0.193890187,0.025709353,0.064260666,0.013646414,0,0.09093796,0,0.009464624,0.215514297,0.11762149,0.104392556,0,0,0.035626872,0,0,0,0,0.752893138,0.72891485
R-2_Week_8,0.14704021,0.175513301,0,0,0,0.167636976,0.047001247,0.079103282,0.031185358,0.037053598,0.029703241,0,9.61E-05,0.095769201,0.079667404,0.096817228,0,0,0.013412865,0,0,0,0,0.739457009,0.738023649
R-14_Baseline,0.116929474,0.181419203,0,0.007750995,0,0.160101555,0.01039383,0.10319401,0.011509422,0,0.016373734,0.014023762,0.032018374,0.169977551,0.076148421,0.074629346,0,0,0.025530323,0,0,0,0,0.782355165,0.715122195
R-14_C1D1,0.045018893,0.147812807,0.063947403,0,0,0.115109434,0.025554335,0.059704713,0.006481811,0,0.019814477,0.00357534,0.04663584,0.232473494,0.091650204,0.105760785,0,0,0.036460465,0,0,0,0,0.798498767,0.709501747
R-6_Baseline,0.050749957,0,0.002177493,0,0,0.106302969,0,0.068761229,0.02255073,0,0.019713122,0.014276781,0.063890311,0.202394639,0.043446902,0.362134071,0,0,0.043601797,0,0,0,0,0.454774637,0.890422062
R-6_C1D1,0.039663991,0,0.001327355,0,0,0.129356071,0,0.080602965,0.007008429,0,0.035040968,0.006943589,0.094033168,0.105063929,0.046249416,0.392475597,0,0.009261643,0.05297288,0,0,0,0,0.378723941,0.927610157
R-6_Week_8,0.007363745,0,0.002152938,0.033022983,0,0.145349122,0.026978827,0.073991638,0.025204566,0,0.050165113,0,0.024920926,0.153258508,0.088193326,0.333909464,0,0,0.035488845,0,0,0,0,0.534482474,0.84818816
R-9_Baseline,0.009387871,0,0.009236405,0.003737507,0,0.229685611,0,0.024606147,0.005825596,0,0.012295427,0.028110909,0.047847123,0.218889313,0.030568618,0.235480753,0,0,0.144328721,0,0,0,0,0.722748505,0.745073507
R-9_C1D1,0.059996284,0,0.006280898,0,0,0.166727657,0.005646289,0.050530281,0.007082084,0,0.053169444,0,0.01514263,0.365103739,0.032270847,0.153141782,0,0.008121757,0.076786309,0,0,0,0,0.793084643,0.68064063
R-7_C1D1,0.005396534,0.021471466,0.000409026,0.016983094,0,0.144433663,0.004438038,0.010666943,0.005196751,0,0.00583823,0.01535329,0.017160207,0.294546151,0.007553637,0.318634632,0.013947977,0.010280474,0.107689888,0,0,0,0,0.752304926,0.702185922
R-20_Baseline,0.009037374,0.004785197,0,0,0,0.132258924,0,0.015348126,0.00435121,0,0.014612426,0.02076797,0.057552011,0.084940475,0.034375263,0.208301524,0,0.033256364,0.379852564,0,0,0.000560572,0,0.716538573,0.736250235
R-20_C1D1,0.025028413,0.004587526,0,0,0.020810657,0.127795103,0,0.0001502,0.014039475,0,0.009887286,0.024132851,0.039675773,0.044842403,0.011749761,0.246168982,0.049103606,0.027237993,0.354789969,0,0,0,0,0.705084192,0.749562075
R-8_Baseline,0.009283337,0,0.062870552,0,0,0.176257291,0.003907139,0.054814391,0.013952528,0,0.009093632,0.031828,0.067756739,0.282026152,0.051709412,0.146773123,0,0.04786283,0.041864874,0,0,0,0,0.666210953,0.776326196
R-8_C1D1,0.049478676,0,0.058750809,0,0,0.167580292,0.009203232,0.054279336,0.020902583,0,0.034181094,0.013909904,0.047530812,0.209274343,0.07245672,0.13536391,0.002518222,0.035911637,0.08865843,0,0,0,0,0.545402729,0.848856567
R-24_Baseline,0.006763341,0.027197543,0.004311696,0,0,0.176849866,0,0.039828415,0.031436527,0,0.020079818,0.021089924,0.091732485,0.151810086,0.050381241,0.227103652,0.01206846,0,0.139346946,0,0,0,0,0.568103445,0.837146556
R-24_C1D1,0.002897698,0.020776632,0.01763629,0,0,0.191524246,0,0.023753296,0.006330272,0,0.011300971,0.030338093,0.075780761,0.140912573,0.048778883,0.226686721,0,0,0.203283563,0,0,0,0,0.653888794,0.79210388
R-13_C1D1,0,0.017504445,0,0.000958344,0,0.210948731,0,0.00617997,0.018485704,0,0.027697022,0.010911289,0.111268472,0.095040584,0.048646849,0.39020504,0,0,0.062153549,0,0,0,0,0.377692087,0.928491466
R-13_Week_8,0.068437935,0,0.016595699,0,0,0.207431075,0,0.111791192,0,0,0,0.019760963,0.076405476,0.072747139,0.046674314,0.313119195,0,0,0.067037012,0,0,0,0,0.372838528,0.928126073
R-10_Baseline,0.021076609,0,0,0.000394056,0,0.118416868,0,0.076887466,0.018743769,0,0.018969991,0.015051562,0.083525876,0.148543363,0.022260449,0.302325169,0,0.084865849,0.088938975,0,0,0,0.002,0.281125388,0.971314871
R-10_C1D1,0.009960536,0.009341563,0,0,0,0.208605903,0.028567549,0.052503626,0.00389824,0,0.039978948,0,0.017292743,0.235710389,0.03519805,0.285972516,0,0.033039276,0.034035231,0,0.00589543,0,0,0.662713966,0.773937918
R-10_Week_8,0.001383754,0.042135023,0.000981188,0.104207331,0,0.158842145,0.004484982,0.069448026,0.033727336,0.014465104,0.025741695,0.01469631,0.021079424,0.098990597,0.047772234,0.283624798,0,0,0.078420054,0,0,0,0,0.749267613,0.738418417
R-12_Baseline,0.030529811,0,0.008231378,0,0,0.135466645,0.012763478,0.024972978,0.017348791,0,0.018228347,0,0.073069885,0.18922701,0.023572975,0.38246435,0,0,0.078387121,0,0,0.00573723,0,0.539812182,0.843943012
