,R-18_Baseline,R-5_Baseline,R-5_C1D1,R-12_Baseline,R-12_C1D1,R-19_C1D1,R-20_Baseline,R-20_C1D1,R-2_Baseline,R-2_C1D1,R-18_C1D1,R-2_Week_8,R-14_Baseline,R-14_C1D1,R-6_Baseline,R-6_C1D1,R-6_Week_8,R-8_Baseline,R-8_C1D1,R-17_Baseline,R-17_C1D1,R-23_Week_8,R-16_C1D1,R-16_Week_8,R-4_Week_8,R-24_Baseline,R-24_C1D1,R-9_Baseline,R-9_C1D1,R-7_C1D1,R-15_Baseline,R-13_C1D1,R-13_Week_8,R-10_Baseline,R-10_Week_8,R-10_C1D1,R-4_Baseline
M0 Macrophages,-0.209287948,0.392648959,0.296442623,0.305416526,0.310375233,0.046179438,-0.170050021,-0.169610568,0.246948527,0.10416636,-0.248374187,-0.478625226,0.212300192,0.241578034,0.496997602,0.486183196,0.542034832,0.385568705,0.429363971,-0.064009658,-0.49289747,0.111713066,-0.192231766,-0.491358977,0.274972549,-0.080710463,-0.564417154,-0.483776526,-0.145156719,-0.457254291,-0.107714944,-0.554255073,-0.431305458,-0.284195856,-0.579156868,0.254245298,-0.314721575
M1 Macrophages,-0.52016827,-0.323839145,0.270105748,-0.583477588,-0.785967687,-0.513773228,-0.349933066,-0.202550163,0.737571353,0.582809828,-0.72430928,0.820738216,0.731597626,0.712709648,-0.410301952,-0.445264545,-0.405034361,0.305314606,0.084272748,-0.200085145,0.352919462,-0.730028424,0.374764804,0.668453808,0.617090164,-0.344373467,0.046329103,-0.434618013,-0.023954292,0.492040124,-0.528189165,-0.485042044,-0.620605021,-0.690194779,0.407409199,-0.082852331,0.169869647
M2 Macrophages,-0.493104765,-0.511612546,-0.223112029,0.14097681,-0.105436494,-0.693415245,-0.590241246,-0.433607685,0.362950363,0.307917796,-0.643171016,0.206847787,0.255308527,0.458650578,-0.648910412,-0.716317676,-0.343691055,0.149400416,-0.476412922,0.431602239,0.658351242,-0.002686096,0.00061932,0.573575223,0.148655115,0.212575476,0.436362793,0.521746453,0.335614376,0.629008008,-0.498043619,0.439537744,-0.378024621,-0.621593624,0.783119122,-0.205714465,-0.376360165
Activated CD4+ T cells,-0.869204556,-0.220048694,0.242643866,-0.613023946,-0.218367246,-0.538827528,-0.595865842,-0.570232192,0.78230652,0.60282175,-0.802304726,0.481672865,0.67859184,0.448717569,-0.320599771,-0.369768846,0.187068424,0.08570641,0.019265836,0.001569366,0.031250656,-0.661523972,-0.177223675,0.782127151,0.767205588,-0.263965624,0.097228155,-0.105685589,-0.354553962,0.717603802,-0.344071094,-0.413623729,-0.530391925,-0.665992413,0.598044462,0.590198131,0.454719197
Activated CD8+ T cells,-0.61919903,-0.018070128,0.216691166,-0.596587216,-0.302535924,0.373549545,-0.140594495,-0.690378936,0.464377169,0.450075847,-0.497995946,-0.058811286,0.200812745,0.119369254,-0.415245314,-0.393925194,0.168063989,-0.010905412,-0.260130481,-0.248261453,-0.250645789,-0.265805768,-0.150485872,0.531313954,0.478742546,-7.74E-05,-0.320661631,-0.28142249,-0.112590799,-0.165785823,-0.135363487,-0.519022991,-0.125642048,0.307428357,0.414215177,0.763437242,0.006473912
Activated DCs,-0.688505361,-0.128230434,0.281526734,-0.564216719,-0.442006363,-0.395966555,-0.627938644,-0.212699476,0.775079283,0.710823348,-0.702668645,0.841400958,0.543717432,0.591200528,-0.037466357,-0.132403468,-0.446924787,0.107068568,0.17517348,0.290517258,0.472438068,-0.44376425,0.04303869,0.250050601,0.589807367,-0.087215855,0.09135424,-0.411405231,-0.23755467,0.205881071,-0.792218559,-0.088798619,-0.704977578,-0.738071749,0.62302332,-0.036240526,-0.141179482
Activated Mast Cells,-0.076148563,-0.205540576,-0.420442366,-0.115020543,-0.353853414,-0.429186889,0.887599551,0.865800883,0.530260204,0.02199589,-0.471618252,-0.608196175,-0.700834291,-0.508686621,-0.774729313,-0.811013431,-0.893931486,-0.578576873,0.083217504,0.128085308,0.672095357,0.183369414,-0.135318119,0.560238533,0.047885935,0.513888893,0.851871344,0.529874251,0.304610226,0.725911312,0.289918856,-0.5760047,-0.551067234,-0.460027799,0.817289154,-0.413069242,0.613378914
Activated Memory CD4+ T cells,-0.768900026,-0.319908713,0.037403537,-0.506225994,-0.303033921,-0.431970435,-0.287310437,-0.494369619,0.769801715,0.608144272,-0.802412664,0.691327049,0.698452676,0.366658996,-0.447983553,-0.594132517,0.077312884,-0.098760559,-0.14359081,0.001569577,0.085424867,-0.505314047,-0.207722319,0.779227768,0.688099957,-0.269070055,0.43008943,-0.084981389,-0.423885578,0.741557917,-0.471442978,-0.432708084,-0.561578368,-0.588406946,0.679851288,0.494633904,0.046575405
Activated NK cells,-0.611187767,-0.21981092,0.567908992,-0.689817794,-0.54515586,-0.505224724,-0.291655328,-0.703950154,0.790562381,0.78517972,-0.662500531,0.645245174,0.698992103,0.648849942,-0.353273445,-0.422432944,0.21054157,0.334609867,-0.213795169,0.053803491,-0.109283124,-0.651947851,-0.22049235,0.696739564,0.915239035,-0.048299976,0.119193901,0.14486212,0.014936648,0.235708576,-0.744327614,-0.308234127,-0.734558225,-0.721033859,0.710134413,0.329752527,-0.462223973
Activated TANs,-0.372890018,-0.374697285,0.198258589,-0.394707477,-0.57263474,-0.442037644,-0.511762658,-0.629516316,0.516075932,0.569996407,-0.493564894,0.538109643,0.284563158,0.502802565,-0.321185519,-0.371743058,0.506886192,0.423522341,-0.265519115,0.064108934,0.204856903,-0.453187843,0.063741365,0.824532545,0.610220209,0.239048766,0.605120208,-0.300345276,-0.684696622,0.440563551,-0.635485336,0.307181736,-0.647959077,-0.508724447,0.744145668,0.033736873,0.191761322
