"","R-5_Baseline","R-5_Post Run-in","R-14_Baseline","R-14_Post Run-in","R-6_Baseline","R-6_Post Run-in","R-6_Week 8","R-8_Baseline","R-8_Post Run-in","R-16_Post Run-in","R-16_Week 8","R-9_Post Run-in","R-15_Baseline"
"A1BG",8.45401533397975,8.31473955583451,8.15002159578027,7.97561266428126,8.4338907347919,8.50061360656,8.68543126596357,7.9398859134254,7.55985932167377,8.18711798515574,8.54872105592349,8.50377181714433,9.23310998930386
"A1BG-AS1",9.15051970422958,8.9008718926877,8.22475487234377,8.48816984547103,9.20729629068002,9.31131148749478,9.35055063051248,8.75976967849285,8.55528565248904,8.52573586505928,9.19078221813984,8.37437532619814,9.27212669452552
"A1CF",5.60899813029743,5.60899813029743,5.60899813029743,5.87677022497183,5.60899813029743,5.60899813029743,5.88696542114841,5.83882921400621,5.60899813029743,5.60899813029743,5.60899813029743,5.60899813029743,5.93623087256715
"A2M",15.1476308221216,15.0498787760626,14.3324853656437,15.2164454713771,16.7031369564765,16.8278415167804,16.487686856484,15.0299434443371,14.6282694826002,17.1629092315674,16.637612282999,15.0611072627048,14.3779085960801
"A2M-AS1",6.52578548022659,6.5873570617846,7.12119621502447,6.80343859470232,6.40854924399774,6.68949365022241,6.92659040830713,6.90638849140521,6.43335715136726,7.28337491802848,8.27927301548394,6.63798137268858,6.40224077562255
"A2ML1",8.32412759409711,8.49593776032263,7.67766959403811,7.2908759752487,9.886197301086,10.0380248701851,10.4360463439214,8.72589013243542,11.3711318680333,10.3162352072433,6.11424674495623,9.08166545730772,5.93623087256715
"A3GALT2",6.3523839393805,6.11791541815538,6.57446007942373,6.90569162360001,6.40854924399774,6.43675927061783,6.61159807816397,6.79293368729023,6.66410646222774,6.50260650444065,6.2590956053428,6.72209752796275,6.40224077562255
"A4GALT",10.9613860236271,11.4734384164403,10.3540204279987,10.5850208220928,10.1836328658948,10.6753555029179,10.8377390958695,10.0597351155027,9.6434808536967,9.47357064663626,10.1493359832418,10.4889813914705,10.5694510455539
"A4GNT",5.60899813029743,5.60899813029743,5.60899813029743,5.60899813029743,5.60899813029743,5.60899813029743,5.60899813029743,5.60899813029743,5.60899813029743,6.01372266362033,6.15427086126659,5.80744926531201,5.60899813029743
"AAAS",11.2082694930654,10.7686074584387,10.7957623137173,10.6919228793319,10.5100855138758,10.492298208655,10.3227374443256,10.5965166064632,10.4413959973681,10.6775756484207,10.5662291361311,10.4008115852826,10.8256535071379
"AACS",11.2007905163148,10.0565607603805,11.9366951758759,12.1307408003061,10.5697541683991,10.7139708431404,10.5179958244278,12.2580735192766,12.5461237055649,10.6175422506349,9.79466654070184,10.7250881311027,11.5241117274062
"AADAC",5.60899813029743,6.16591965874251,5.60899813029743,5.60899813029743,6.38524429510183,5.60899813029743,5.94917537016723,6.92412534482289,7.08463354144807,7.32242936818854,7.88704013094326,6.98807016602203,5.84063407133291
"AADACL2",5.60899813029743,5.60899813029743,5.60899813029743,5.60899813029743,5.60899813029743,5.60899813029743,5.60899813029743,5.60899813029743,8.83251692329138,5.81185746253533,5.90169431199833,5.60899813029743,6.00934861335203
"AADACL3",5.60899813029743,5.60899813029743,5.60899813029743,5.60899813029743,5.60899813029743,5.60899813029743,5.60899813029743,5.83882921400621,5.60899813029743,5.81185746253533,5.60899813029743,5.60899813029743,5.60899813029743
"AADACL4",5.60899813029743,5.60899813029743,6.08395599556407,6.14227028445608,5.8052576640352,5.80137256762793,5.80570245117785,5.60899813029743,5.60899813029743,5.81185746253533,5.90169431199833,5.60899813029743,5.60899813029743
"AADAT",10.4630487367316,10.5995927770926,8.17081300344679,8.20583906865753,10.3440837572862,10.0908253583651,9.59836515344536,9.15817864301341,9.59728676160693,10.1467048121406,9.32232918663828,8.75338590742132,8.27288061840382
"AAED1",10.1893627285802,10.428792959275,9.5705426557375,9.2316809262593,10.0641383951452,9.71053666956917,9.91950243199118,10.1913888035274,10.0591846667183,8.96794106283008,10.2651244024056,10.0687711040117,9.18672060434899
"AAGAB",10.9003508560544,11.1508870089709,10.9672213439372,10.7762456334311,10.6869112342957,10.6921402370319,10.668295709564,11.1750723576956,11.37647457538,11.0074418313008,10.5614208668356,10.9050877508197,11.2425460929137
"AAK1",12.9923951376744,13.3853281899401,12.3794170481016,12.3632267139293,12.0007386174684,12.075356541396,12.1581993059383,12.2318778634758,12.0500764662026,12.4022937615726,13.1474877375344,12.5488069840278,12.377816218223
"AAMDC",8.95823768032568,8.65621999626755,8.8092740320357,8.70507351276509,8.75566553737809,9.03621303472333,8.90340702576576,8.53320048217754,8.43529496983377,8.92512777438842,8.26480039810417,8.02519558276031,8.55058097814297
"AAMP",11.9379565091369,11.3681570340787,11.7140704505827,12.0377485322281,11.1567142928267,11.3368637584803,11.1777790989773,11.6029914962571,11.4810245453075,12.103682835348,11.1635324840123,11.4904459410409,12.4576035789692
"AANAT",5.90330389234291,5.83753570807596,6.08395599556407,6.31151251952412,5.94840851302826,5.88085587029746,6.16239405493133,6.25435211101311,5.60899813029743,5.81185746253533,5.90169431199833,5.95218689706388,5.84063407133291
"AAR2",10.4399222006361,10.9116023604991,10.0132027542762,10.2390284324835,10.3032922809761,10.322293921485,10.1543587451443,10.1681896434602,10.2119952168689,9.6477678677635,9.66409030940856,10.2007248531991,10.3301211990596
"AARD",12.6982159370786,13.4549436437616,8.78297215316912,8.90832388862774,12.3518142638738,12.4282616345715,12.2857768963192,9.001440498317,9.06406987403106,7.08939266072905,6.56390080444023,10.3288708941691,6.25934691730034
"AARS",13.4237899770304,12.9285483219273,12.9436849247209,13.4159309203497,13.8598192892135,13.9438424890267,13.6138854165138,14.043924754233,14.1831596269884,12.9005287298491,12.1313814535065,12.8927590220545,12.4022192088451
"AARS2",10.6385626270307,10.2422953955682,11.1316343025213,11.284482728086,11.3466588771358,11.4261720160297,11.0543084223324,11.9922413154007,11.5989601453864,11.2141859568834,10.9631316625567,11.117696215975,11.4564414635539
"AARSD1",6.48015169997063,6.65874424170161,6.2352218206779,6.14227028445608,5.88633784601062,5.99289846082458,5.60899813029743,6.00624222596,6.31744060273563,5.60899813029743,5.60899813029743,5.95218689706388,5.93623087256715
"AASDH",11.8911076344008,11.5200167711156,10.9439414176076,10.7396933490818,10.4682717175523,10.3291427379313,10.2853509840377,10.299237732588,10.439126328346,11.9734433991842,11.0853442331842,11.4413717407885,11.1975376607876
"AASDHPPT",10.4724035176438,10.8902905455131,10.1502223692887,10.296340862655,10.4290030685593,10.2805017665116,10.2306658792181,10.5044935284075,10.7292384528208,10.3455094395596,10.0428673178648,10.2888365310188,10.6656269087112
"AASS",9.48570304654932,8.20820883123212,9.88844217172722,9.78245625407175,9.87787663962748,9.70451765368548,10.007670313704,11.4684991433537,11.5826179890913,10.8605858927629,11.2663260333829,10.3839110280536,11.0231211829328
"AATF",11.528579612152,11.2589208722817,11.3524720572543,11.4432194847259,11.3059861747682,11.2779731491831,11.209694963869,11.0024206118018,11.0425813137306,11.3052028249365,11.1654338631278,10.7345252554916,11.5846068888152
"AATK",7.85167445629756,7.49279149067843,7.62682916068604,7.92443421353418,8.23547131292254,8.46851361389314,8.43108684058577,8.91792535179562,8.25719487079967,9.01222491557948,9.7597593072045,9.70032996659522,8.5990784767185
