,IM,BL1,MSL,M,BL2,LAR
R.5_Baseline,-0.370970770638946,0.607357696296748,-0.369178279529884,0.486148205928877,-0.259994325436232,-0.425891003657974
R.5_Post.Run.in,0.115590728235591,0.680956183819704,-0.545668977910668,-0.0207397138651568,-0.300069642373515,-0.357713490154749
R.14_Baseline,0.692003465119972,0.053912430704984,-0.0174400992467707,-0.648391695588532,-0.23403964456596,0.0999328928404408
R.14_Post.Run.in,0.646977453370319,-0.0985810930772505,0.146709374555925,-0.622407515271852,-0.0503314461109893,0.115424047855071
R.6_Baseline,-0.444595440238355,0.555958017519891,-0.260733315380515,0.502651643555817,-0.205084538103406,-0.300984060615691
R.6_Post.Run.in,-0.429981390157565,0.556658868014031,-0.275504466888467,0.473994135969592,-0.187840957453669,-0.30121486820637
R.6_Week.8,-0.0880386113368265,0.485198303535991,-0.246577281625478,0.226599276362416,-0.108232631321013,-0.265239993928284
R.8_Baseline,0.178235357299635,-0.032588588283924,-0.157421487069502,-0.246420732089724,0.164903467932266,-0.112582984219114
R.8_Post.Run.in,-0.0537327094249395,-0.0265765194519601,-0.221028483614524,-0.0691663739296997,0.301485059131534,-0.109166141638841
R.16_Post.Run.in,0.0274078380826959,-0.169301733823508,0.157645235837561,0.132951825674419,-0.244200982731271,-0.180325525060812
R.16_Week.8,0.609521397816321,-0.600113518037783,0.526272028496905,-0.578187044780353,0.198211867576316,0.16733152059718
R.9_Post.Run.in,-0.3615577161964,-0.711879155387411,0.501563439143027,0.139859584631863,0.521791614542359,0.453258760667207
R.15_Baseline,-0.629069017531079,-0.599645461780547,0.295888295270362,0.464223716900057,0.25274635989631,0.607258325565291
