,IM,BL1,MSL,M,BL2,LAR
R.5_Baseline,1,0,1,0,1,1
R.5_Post.Run.in,0,0,1,0.712,1,1
R.14_Baseline,0,0.045,0.994,1,0.959,0.017
R.14_Post.Run.in,0,0.699,0.113,1,0.354,0.088
R.6_Baseline,1,0,0.208,0,1,0.987
R.6_Post.Run.in,1,0,0.519,0,1,0.997
R.6_Week.8,0.977,0,1,0,0.995,0.998
R.8_Baseline,0.011,0.825,0.993,1,0.026,0.996
R.8_Post.Run.in,0.968,0.923,1,0.342,0,0.999
R.16_Post.Run.in,0.319,0.996,0,0.184,0.937,0.879
R.16_Week.8,0,1,0.741,1,0.001,0.209
R.9_Post.Run.in,1,1,0,0.047,0,0
R.15_Baseline,1,1,0,0,0,0
